California Regular All Formulations Retail Gasoline Prices
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=emm_epmr_pte_sca_dpg&f=m
20:22:55 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Month,California Regular All Formulations Retail Gasoline Prices Dollars per Gallon
Apr 2022,5.598
Mar 2022,5.562
Feb 2022,4.568
Jan 2022,4.495
Dec 2021,4.508
Nov 2021,4.51
Oct 2021,4.31
Sep 2021,4.222
Aug 2021,4.232
Jul 2021,4.165
Jun 2021,4.094
May 2021,3.982
Apr 2021,3.822
Mar 2021,3.692
Feb 2021,3.347
Jan 2021,3.176
Dec 2020,3.057
Nov 2020,3.029
Oct 2020,3.052
Sep 2020,3.091
Aug 2020,3.074
Jul 2020,3.021
Jun 2020,2.889
May 2020,2.685
Apr 2020,2.744
Mar 2020,3.184
Feb 2020,3.364
Jan 2020,3.411
Dec 2019,3.531
Nov 2019,3.869
Oct 2019,4.04
Sep 2019,3.609
Aug 2019,3.482
Jul 2019,3.595
Jun 2019,3.717
May 2019,3.947
Apr 2019,3.82
Mar 2019,3.268
Feb 2019,3.158
Jan 2019,3.156
Dec 2018,3.292
Nov 2018,3.558
Oct 2018,3.686
Sep 2018,3.515
Aug 2018,3.481
Jul 2018,3.53
Jun 2018,3.601
May 2018,3.621
Apr 2018,3.558
Mar 2018,3.417
Feb 2018,3.359
Jan 2018,3.21
Dec 2017,3.13
Nov 2017,3.235
Oct 2017,3.08
Sep 2017,3.164
Aug 2017,3.017
Jul 2017,2.95
Jun 2017,3.023
May 2017,3.043
Apr 2017,3.009
Mar 2017,3.001
Feb 2017,2.888
Jan 2017,2.79
Dec 2016,2.681
Nov 2016,2.732
Oct 2016,2.807
Sep 2016,2.747
Aug 2016,2.692
Jul 2016,2.857
Jun 2016,2.875
May 2016,2.8
Apr 2016,2.768
Mar 2016,2.625
Feb 2016,2.423
Jan 2016,2.768
Dec 2015,2.724
Nov 2015,2.766
Oct 2015,2.893
Sep 2015,3.122
Aug 2015,3.54
Jul 2015,3.755
Jun 2015,3.545
May 2015,3.752
Apr 2015,3.21
Mar 2015,3.338
Feb 2015,2.706
Jan 2015,2.547
Dec 2014,2.867
Nov 2014,3.185
Oct 2014,3.536
Sep 2014,3.773
Aug 2014,3.912
Jul 2014,4.061
Jun 2014,4.114
May 2014,4.171
Apr 2014,4.161
Mar 2014,3.935
Feb 2014,3.677
Jan 2014,3.618
Dec 2013,3.594
Nov 2013,3.594
Oct 2013,3.781
Sep 2013,3.942
Aug 2013,3.871
Jul 2013,4.008
Jun 2013,4.003
May 2013,4.005
Apr 2013,3.983
Mar 2013,4.144
Feb 2013,4.078
Jan 2013,3.632
Dec 2012,3.58
Nov 2012,3.846
Oct 2012,4.412
Sep 2012,4.165
Aug 2012,4.063
Jul 2012,3.774
Jun 2012,4.085
May 2012,4.307
Apr 2012,4.245
Mar 2012,4.367
Feb 2012,3.98
Jan 2012,3.699
Dec 2011,3.6
Nov 2011,3.8
Oct 2011,3.844
Sep 2011,3.925
Aug 2011,3.777
Jul 2011,3.798
Jun 2011,3.918
May 2011,4.181
Apr 2011,4.16
Mar 2011,3.956
Feb 2011,3.53
Jan 2011,3.342
Dec 2010,3.25
Nov 2010,3.157
Oct 2010,3.098
Sep 2010,3.017
Aug 2010,3.14
Jul 2010,3.124
Jun 2010,3.087
May 2010,3.09
Apr 2010,3.091
Mar 2010,3.057
Feb 2010,2.945
Jan 2010,3.017
Dec 2009,2.915
Nov 2009,2.958
Oct 2009,3.014
Sep 2009,3.123
Aug 2009,3.01
Jul 2009,2.873
Jun 2009,2.923
May 2009,2.485
Apr 2009,2.331
Mar 2009,2.19
Feb 2009,2.22
Jan 2009,2.005
Dec 2008,1.823
Nov 2008,2.456
Oct 2008,3.389
Sep 2008,3.793
Aug 2008,4.079
Jul 2008,4.462
Jun 2008,4.484
May 2008,3.968
Apr 2008,3.799
Mar 2008,3.562
Feb 2008,3.184
Jan 2008,3.248
Dec 2007,3.307
Nov 2007,3.348
Oct 2007,3.065
Sep 2007,2.874
Aug 2007,2.899
Jul 2007,3.126
Jun 2007,3.281
May 2007,3.439
Apr 2007,3.292
Mar 2007,3.06
Feb 2007,2.668
Jan 2007,2.571
Dec 2006,2.542
Nov 2006,2.462
Oct 2006,2.548
Sep 2006,2.892
Aug 2006,3.166
Jul 2006,3.214
Jun 2006,3.214
May 2006,3.291
Apr 2006,2.88
Mar 2006,2.579
Feb 2006,2.495
Jan 2006,2.379
Dec 2005,2.274
Nov 2005,2.527
Oct 2005,2.883
Sep 2005,2.99
Aug 2005,2.677
Jul 2005,2.515
Jun 2005,2.364
May 2005,2.475
Apr 2005,2.551
Mar 2005,2.301
Feb 2005,2.118
Jan 2005,1.968
Dec 2004,2.097
Nov 2004,2.304
Oct 2004,2.33
Sep 2004,2.069
Aug 2004,2.085
Jul 2004,2.186
Jun 2004,2.275
May 2004,2.252
Apr 2004,2.139
Mar 2004,2.096
Feb 2004,1.868
Jan 2004,1.675
Dec 2003,1.633
Nov 2003,1.692
Oct 2003,1.791
Sep 2003,2.022
Aug 2003,1.867
Jul 2003,1.744
Jun 2003,1.764
May 2003,1.842
Apr 2003,2.045
Mar 2003,2.103
Feb 2003,1.805
Jan 2003,1.613
Dec 2002,1.536
Nov 2002,1.578
Oct 2002,1.531
Sep 2002,1.579
Aug 2002,1.588
Jul 2002,1.601
Jun 2002,1.586
May 2002,1.568
Apr 2002,1.61
Mar 2002,1.461
Feb 2002,1.274
Jan 2002,1.185
Dec 2001,1.158
Nov 2001,1.357
Oct 2001,1.546
Sep 2001,1.663
Aug 2001,1.559
Jul 2001,1.77
Jun 2001,1.927
May 2001,1.948
Apr 2001,1.793
Mar 2001,1.693
Feb 2001,1.637
Jan 2001,1.601
Dec 2000,1.679
Nov 2000,1.766
Oct 2000,1.812
Sep 2000,1.826
Aug 2000,1.676
Jul 2000,1.71
Jun 2000,1.622
