DATE,LFWA64TTUSM647S
1977-01-01,135150145.25950798
1977-02-01,135355984.05737498
1977-03-01,135574112.208331
1977-04-01,135837848.26154
1977-05-01,136137325.319601
1977-06-01,136340728.87678
1977-07-01,136560400.19709802
1977-08-01,136723582.518165
1977-09-01,136844411.86802298
1977-10-01,137171123.382139
1977-11-01,137346013.316771
1977-12-01,137493824.028877
1978-01-01,137668468.043664
1978-02-01,137859090.658425
1978-03-01,138032800.91372302
1978-04-01,138101668.584582
1978-05-01,138353549.347667
1978-06-01,138707825.637285
1978-07-01,138835070.340671
1978-08-01,138960479.773097
1978-09-01,139111858.514571
1978-10-01,139334074.958619
1978-11-01,139567747.25641102
1978-12-01,139783251.75322902
1979-01-01,140076041.03667
1979-02-01,140270463.336349
1979-03-01,140427124.01773998
1979-04-01,140459522.428936
1979-05-01,140669779.244372
1979-06-01,141097741.49946
1979-07-01,141194913.27072498
1979-08-01,141324846.598501
1979-09-01,141496629.726459
1979-10-01,141726345.664075
1979-11-01,141942903.631016
1979-12-01,142151519.44352898
1980-01-01,142414782.436942
1980-02-01,142589488.663375
1980-03-01,142736549.875705
1980-04-01,142853879.612658
1980-05-01,143176703.102898
1980-06-01,143453016.639534
1980-07-01,143602803.09465
1980-08-01,143835050.232528
1980-09-01,143916093.016812
1980-10-01,144017872.061237
1980-11-01,144163816.208524
1980-12-01,144229512.204507
1981-01-01,144342176.45790398
1981-02-01,144464337.290291
1981-03-01,144642944.402671
1981-04-01,144817277.00907698
1981-05-01,145056812.57307702
1981-06-01,145430860.755835
1981-07-01,145506690.516651
1981-08-01,145603925.58834
1981-09-01,145653117.122775
1981-10-01,145823455.219347
1981-11-01,145975811.980084
1981-12-01,146086004.499492
1982-01-01,145925781.70254502
1982-02-01,146008471.918466
1982-03-01,146184718.30825198
1982-04-01,146500079.375264
1982-05-01,146762156.222558
1982-06-01,147006731.332352
1982-07-01,147117564.355654
1982-08-01,147268827.371373
1982-09-01,147405988.51985902
1982-10-01,147595805.192331
1982-11-01,147632203.230671
1982-12-01,147744550.338747
1983-01-01,147219110.941096
1983-02-01,147311702.78007498
1983-03-01,147604952.62617502
1983-04-01,147927675.36363098
1983-05-01,148187091.75423
1983-06-01,148343498.18837
1983-07-01,148519526.329117
1983-08-01,148637603.726857
1983-09-01,148752216.086692
1983-10-01,148876398.337749
1983-11-01,148930275.818183
1983-12-01,149072340.435182
1984-01-01,149115933.660412
