Natural Gas Delivered to Consumers in the U.S.
https://www.eia.gov/dnav/ng/hist/n3060us2a.htm
02:37:51 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Year,Natural Gas Delivered to Consumers in the U.S.  Million Cubic Feet
2021,27437503
2020,27660375
2019,28291006
2018,27568157
2017,24834715
2016,25212159
2015,24989285
2014,24381082
2013,23838925
2012,23411423
2011,22467053
2010,22127046
2009,20964665
2008,21409349
2007,21256042
2006,19972881
2005,20318892
2004,20738454
2003,20562727
2002,21247016
2001,20495108
2000,21539964
1999,20680843
1998,20437798
1997,20782693
