Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in the U.S.
https://www.eia.gov/dnav/ng/hist/n3020us2a.htm
02:36:43 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Year,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in the U.S.  Million Cubic Feet
2021,3263722
2020,3170221
2019,3514566
2018,3513954
2017,3164615
2016,3109584
2015,3201734
2014,3466308
2013,3295301
2012,2894926
2011,3155319
2010,3102593
2009,3118592
2008,3152529
2007,3012904
2006,2832030
2005,2998920
2004,3128972
2003,3179493
2002,3144170
2001,3022712
2000,3182469
1999,3044658
1998,2999491
1997,3214912
1996,3158244
1995,3031077
1994,2895013
1993,2861569
1992,2802751
1991,2728581
1990,2622721
1989,2717722
1988,2670465
1987,2430064
1986,2318335
1985,2432382
1984,2524244
1983,2432547
1982,2605523
1981,2519791
1980,2610895
1979,2785961
1978,2601106
1977,2500793
1976,2667740
1975,2508293
1974,2555617
1973,2597037
1972,2607982
1971,2508977
1970,2398510
1969,2253206
1968,2075736
1967,1958970
1966,1622740
1965,1443648
1964,1374717
1963,1267783
1962,1206668
1961,1076849
1960,1020222
1959,975107
1958,871774
1957,775916
1956,716871
1955,629219
1954,584957
1953,530650
1952,515669
1951,464309
1950,387838
1949,347818
1948,323054
1947,285213
1946,241802
1945,230099
1944,220747
1943,204793
1942,183603
1941,144844
1940,134644
1939,118334
1938,114296
1937,117390
1936,111623
1935,100187
1934,91261
1933,85577
1932,87367
1931,86491
1930,80707
