U.S. Natural Gas Deliveries to Electric Power Consumers
https://www.eia.gov/dnav/ng/hist/n3045us2a.htm
02:37:27 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Year,U.S. Natural Gas Deliveries to Electric Power Consumers  Million Cubic Feet
2021,11270552
2020,11615988
2019,11288096
2018,10588937
2017,9265555
2016,9985270
2015,9613370
2014,8145982
2013,8190756
2012,9110793
2011,7573863
2010,7387184
2009,6872533
2008,6668379
2007,6841408
2006,6222100
2005,5869145
2004,5463763
2003,5135215
2002,5671897
2001,5342301
2000,5206324
1999,4819531
1998,4588284
1997,4064803
