U.S. Natural Gas Residential Consumption
https://www.eia.gov/dnav/ng/hist/n3010us2a.htm
02:36:26 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Year,U.S. Natural Gas Residential Consumption  Million Cubic Feet
2021,4653503
2020,4674311
2019,5018519
2018,4997554
2017,4413324
2016,4346588
2015,4612888
2014,5087471
2013,4897372
2012,4149519
2011,4713777
2010,4782412
2009,4778907
2008,4892277
2007,4722358
2006,4368466
2005,4826775
2004,4868797
2003,5079351
2002,4888818
2001,4771340
2000,4996179
1999,4725672
1998,4520276
1997,4983772
1996,5241414
1995,4850318
1994,4847702
1993,4956445
1992,4690065
1991,4555659
1990,4391324
1989,4780638
1988,4630330
1987,4314833
1986,4313969
1985,4433377
1984,4555465
1983,4380599
1982,4633035
1981,4546450
1980,4752082
1979,4965365
1978,4903006
1977,4821485
1976,5051360
1975,4924124
1974,4786128
1973,4879387
1972,5125982
1971,4971690
1970,4837432
1969,4728281
1968,4450354
1967,4313304
1966,4138259
1965,3902802
1964,3787292
1963,3589021
1962,3478563
1961,3248578
1960,3103167
1959,2912601
1958,2714251
1957,2500269
1956,2327564
1955,2123952
1954,1894248
1953,1685503
1952,1621966
1951,1474725
1950,1198369
1949,992544
1948,896348
1947,802150
1946,660820
1945,607400
1944,562183
1943,529444
1942,498537
1941,442067
1940,443646
1939,391153
1938,367772
1937,371844
1936,343346
1935,313498
1934,288236
1933,283197
1932,298520
1931,294406
1930,295700
