U.S. Natural Gas Vehicle Fuel Consumption
https://www.eia.gov/dnav/ng/hist/n3025us2a.htm
02:37:14 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Year,U.S. Natural Gas Vehicle Fuel Consumption  Million Cubic Feet
2021,53157
2020,49130
2019,53166
2018,50413
2017,48204
2016,42028
2015,39390
2014,35282
2013,30045
2012,29970
2011,29974
2010,28664
2009,27262
2008,25982
2007,24655
2006,23739
2005,22884
2004,20514
2003,18271
2002,14950
2001,14536
2000,12752
1999,11622
1998,9341
1997,8328
