U.S. All Grades All Formulations Retail Gasoline Prices
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMM_EPM0_PTE_NUS_DPG&f=M
20:24:34 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Month,U.S. All Grades All Formulations Retail Gasoline Prices Dollars per Gallon
Apr 2022,4.213
Mar 2022,4.322
Feb 2022,3.611
Jan 2022,3.413
Dec 2021,3.406
Nov 2021,3.491
Oct 2021,3.384
Sep 2021,3.272
Aug 2021,3.255
Jul 2021,3.231
Jun 2021,3.157
May 2021,3.076
Apr 2021,2.948
Mar 2021,2.898
Feb 2021,2.587
Jan 2021,2.42
Dec 2020,2.284
Nov 2020,2.2
Oct 2020,2.248
Sep 2020,2.274
Aug 2020,2.272
Jul 2020,2.272
Jun 2020,2.17
May 2020,1.961
Apr 2020,1.938
Mar 2020,2.329
Feb 2020,2.533
Jan 2020,2.636
Dec 2019,2.645
Nov 2019,2.693
Oct 2019,2.724
Sep 2019,2.681
Aug 2019,2.707
Jul 2019,2.823
Jun 2019,2.804
May 2019,2.946
Apr 2019,2.881
Mar 2019,2.594
Feb 2019,2.393
Jan 2019,2.338
Dec 2018,2.457
Nov 2018,2.736
Oct 2018,2.943
Sep 2018,2.915
Aug 2018,2.914
Jul 2018,2.928
Jun 2018,2.97
May 2018,2.987
Apr 2018,2.873
Mar 2018,2.709
Feb 2018,2.705
Jan 2018,2.671
Dec 2017,2.594
Nov 2017,2.678
Oct 2017,2.621
Sep 2017,2.761
Aug 2017,2.494
Jul 2017,2.414
Jun 2017,2.46
May 2017,2.503
Apr 2017,2.528
Mar 2017,2.437
Feb 2017,2.416
Jan 2017,2.458
Dec 2016,2.366
Nov 2016,2.295
Oct 2016,2.359
Sep 2016,2.327
Aug 2016,2.284
Jul 2016,2.345
Jun 2016,2.467
May 2016,2.371
Apr 2016,2.216
Mar 2016,2.071
Feb 2016,1.872
Jan 2016,2.057
Dec 2015,2.144
Nov 2015,2.26
Oct 2015,2.387
Sep 2015,2.462
Aug 2015,2.726
Jul 2015,2.88
Jun 2015,2.885
May 2015,2.802
Apr 2015,2.555
Mar 2015,2.546
Feb 2015,2.301
Jan 2015,2.208
Dec 2014,2.632
Nov 2014,2.997
Oct 2014,3.255
Sep 2014,3.484
Aug 2014,3.565
Jul 2014,3.688
Jun 2014,3.766
May 2014,3.75
Apr 2014,3.735
Mar 2014,3.606
Feb 2014,3.434
Jan 2014,3.392
Dec 2013,3.357
Nov 2013,3.322
Oct 2013,3.42
Sep 2013,3.604
Aug 2013,3.645
Jul 2013,3.661
Jun 2013,3.689
May 2013,3.675
Apr 2013,3.638
Mar 2013,3.779
Feb 2013,3.736
Jan 2013,3.391
Dec 2012,3.381
Nov 2012,3.521
Oct 2012,3.812
Sep 2012,3.91
Aug 2012,3.78
Jul 2012,3.498
Jun 2012,3.596
May 2012,3.791
Apr 2012,3.958
Mar 2012,3.907
Feb 2012,3.64
Jan 2012,3.44
Dec 2011,3.326
Nov 2011,3.443
Oct 2011,3.506
Sep 2011,3.667
Aug 2011,3.696
Jul 2011,3.705
Jun 2011,3.735
May 2011,3.96
Apr 2011,3.852
Mar 2011,3.615
Feb 2011,3.264
Jan 2011,3.148
Dec 2010,3.048
Nov 2010,2.913
Oct 2010,2.853
Sep 2010,2.757
Aug 2010,2.783
Jul 2010,2.782
Jun 2010,2.785
