U.S. Natural Gas Exports
https://www.eia.gov/dnav/ng/hist/n9130us2m.htm
21:01:36 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Month,U.S. Natural Gas Exports  Million Cubic Feet
Feb 2022,545563
Jan 2022,610102
Dec 2021,620886
Nov 2021,556982
Oct 2021,545055
Sep 2021,535583
Aug 2021,563572
Jul 2021,566046
Jun 2021,539165
May 2021,578056
Apr 2021,564333
Mar 2021,595411
Feb 2021,424004
Jan 2021,563515
Dec 2020,553176
Nov 2020,528210
Oct 2020,481621
Sep 2020,395424
Aug 2020,359159
Jul 2020,349167
Jun 2020,338486
May 2020,395472
Apr 2020,420767
Mar 2020,497437
Feb 2020,454245
Jan 2020,510444
Dec 2019,481757
Nov 2019,441944
Oct 2019,425775
Sep 2019,394511
Aug 2019,384983
Jul 2019,393400
Jun 2019,360226
May 2019,368568
Apr 2019,338213
Mar 2019,373539
Feb 2019,329954
Jan 2019,364787
Dec 2018,363806
Nov 2018,337789
Oct 2018,306653
Sep 2018,301742
Aug 2018,311449
Jul 2018,305997
Jun 2018,261995
May 2018,272116
Apr 2018,278941
Mar 2018,291468
Feb 2018,275652
Jan 2018,300234
Dec 2017,300138
Nov 2017,287727
Oct 2017,279775
Sep 2017,248916
Aug 2017,247302
Jul 2017,248801
Jun 2017,253322
May 2017,248867
Apr 2017,242424
Mar 2017,273345
Feb 2017,253227
Jan 2017,269960
Dec 2016,250836
Nov 2016,227919
Oct 2016,176466
Sep 2016,201986
Aug 2016,214226
Jul 2016,188682
Jun 2016,183013
May 2016,188274
Apr 2016,177853
Mar 2016,194915
Feb 2016,162757
Jan 2016,168521
Dec 2015,161754
Nov 2015,155739
Oct 2015,158517
Sep 2015,162573
Aug 2015,144885
Jul 2015,143820
Jun 2015,138179
May 2015,134274
Apr 2015,130328
Mar 2015,163967
Feb 2015,144955
Jan 2015,144522
Dec 2014,136982
Nov 2014,120861
Oct 2014,115069
Sep 2014,119891
Aug 2014,115376
Jul 2014,127301
Jun 2014,119864
May 2014,114105
Apr 2014,121928
Mar 2014,149508
Feb 2014,138550
Jan 2014,134807
Dec 2013,117329
Nov 2013,113682
Oct 2013,122406
Sep 2013,122421
Aug 2013,130324
Jul 2013,128612
Jun 2013,133808
May 2013,142071
Apr 2013,125771
Mar 2013,148544
Feb 2013,133003
Jan 2013,154442
Dec 2012,158538
Nov 2012,142299
Oct 2012,139930
Sep 2012,137374
Aug 2012,139248
Jul 2012,118367
Jun 2012,125140
May 2012,132979
Apr 2012,123150
Mar 2012,141164
Feb 2012,130175
Jan 2012,130464
Dec 2011,134374
Nov 2011,127599
Oct 2011,109513
Sep 2011,126744
Aug 2011,111404
Jul 2011,113280
Jun 2011,119470
May 2011,131797
Apr 2011,126374
Mar 2011,144360
Feb 2011,125014
Jan 2011,135721
Dec 2010,135121
Nov 2010,123537
Oct 2010,95974
Sep 2010,79475
Aug 2010,84164
Jul 2010,85851
Jun 2010,90040
May 2010,85725
Apr 2010,75938
Mar 2010,99574
Feb 2010,87820
Jan 2010,93570
Dec 2009,115328
Nov 2009,96892
Oct 2009,78092
Sep 2009,83786
Aug 2009,78755
Jul 2009,76273
Jun 2009,66259
May 2009,77072
Apr 2009,80016
Mar 2009,103699
Feb 2009,103196
Jan 2009,112989
Dec 2008,106101
Nov 2008,90432
Oct 2008,66843
Sep 2008,55330
Aug 2008,67157
Jul 2008,63345
Jun 2008,61702
May 2008,68981
Apr 2008,74343
Mar 2008,100351
Feb 2008,99374
Jan 2008,109302
Dec 2007,101495
Nov 2007,86458
Oct 2007,63576
Sep 2007,65077
Aug 2007,61870
Jul 2007,70660
Jun 2007,57309
May 2007,62477
Apr 2007,50736
Mar 2007,77036
Feb 2007,56539
Jan 2007,69221
Dec 2006,71923
Nov 2006,69688
Oct 2006,58904
