U.S. Natural Gas Imports
https://www.eia.gov/dnav/ng/hist/n9100us2m.htm
21:01:26 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Month,U.S. Natural Gas Imports  Million Cubic Feet
Feb 2022,259389
Jan 2022,296179
Dec 2021,252626
Nov 2021,242405
Oct 2021,228203
Sep 2021,220206
Aug 2021,220959
Jul 2021,227779
Jun 2021,207859
May 2021,204890
Apr 2021,208369
Mar 2021,238724
Feb 2021,271877
Jan 2021,284065
Dec 2020,266618
Nov 2020,211736
Oct 2020,199306
Sep 2020,174225
Aug 2020,211352
Jul 2020,210419
Jun 2020,187478
May 2020,186518
Apr 2020,190049
Mar 2020,213231
Feb 2020,238328
Jan 2020,262080
Dec 2019,256053
Nov 2019,223765
Oct 2019,210537
Sep 2019,208286
Aug 2019,220076
Jul 2019,230407
Jun 2019,201163
May 2019,207651
Apr 2019,206559
Mar 2019,252989
Feb 2019,233344
Jan 2019,290886
Dec 2018,257148
Nov 2018,212486
Oct 2018,215128
Sep 2018,214074
Aug 2018,237025
Jul 2018,247012
Jun 2018,228469
May 2018,227168
Apr 2018,242264
Mar 2018,270762
Feb 2018,237417
Jan 2018,299891
Dec 2017,274478
Nov 2017,240314
Oct 2017,241338
Sep 2017,229444
Aug 2017,247888
Jul 2017,250508
Jun 2017,239805
May 2017,244353
Apr 2017,238279
Mar 2017,280567
Feb 2017,254597
Jan 2017,291656
Dec 2016,280791
Nov 2016,231044
Oct 2016,231449
Sep 2016,238491
Aug 2016,261983
Jul 2016,265022
Jun 2016,241885
May 2016,248317
Apr 2016,241317
Mar 2016,240764
Feb 2016,251775
Jan 2016,273600
Dec 2015,227257
Nov 2015,218242
Oct 2015,226286
Sep 2015,208818
Aug 2015,213875
Jul 2015,216973
Jun 2015,206273
May 2015,204348
Apr 2015,205120
Mar 2015,257274
Feb 2015,254230
Jan 2015,279397
Dec 2014,253736
Nov 2014,227485
Oct 2014,220858
Sep 2014,201622
Aug 2014,206554
Jul 2014,201176
Jun 2014,201655
May 2014,206657
Apr 2014,200669
Mar 2014,234189
Feb 2014,245422
Jan 2014,295356
Dec 2013,273181
Nov 2013,218693
Oct 2013,220430
Sep 2013,243881
Aug 2013,236248
Jul 2013,236199
Jun 2013,236690
May 2013,234183
Apr 2013,220608
Mar 2013,248290
Feb 2013,236875
Jan 2013,278078
Dec 2012,252066
Nov 2012,233853
Oct 2012,253402
Sep 2012,257990
Aug 2012,281350
Jul 2012,281166
Jun 2012,259732
May 2012,259023
Apr 2012,243018
Mar 2012,265152
Feb 2012,269906
Jan 2012,281131
Dec 2011,297733
Nov 2011,248908
Oct 2011,282159
Sep 2011,251846
Aug 2011,280284
Jul 2011,293477
Jun 2011,266617
May 2011,271252
Apr 2011,277936
Mar 2011,315408
Feb 2011,311154
Jan 2011,371919
Dec 2010,351773
Nov 2010,273165
Oct 2010,294744
Sep 2010,281518
Aug 2010,304901
Jul 2010,328655
Jun 2010,282260
May 2010,297801
Apr 2010,298464
Mar 2010,318769
Feb 2010,324124
Jan 2010,384586
Dec 2009,349682
Nov 2009,294918
Oct 2009,273124
Sep 2009,307026
Aug 2009,336848
Jul 2009,316715
Jun 2009,281970
May 2009,265793
Apr 2009,321848
Mar 2009,325165
Feb 2009,321522
Jan 2009,356749
Dec 2008,364862
Nov 2008,320254
Oct 2008,321328
Sep 2008,313868
Aug 2008,328663
Jul 2008,322810
Jun 2008,286919
May 2008,297154
Apr 2008,322122
Mar 2008,366810
Feb 2008,349660
Jan 2008,389651
Dec 2007,396945
Nov 2007,340607
Oct 2007,347224
Sep 2007,361383
Aug 2007,426534
Jul 2007,418576
Jun 2007,381470
May 2007,380213
Apr 2007,386837
Mar 2007,401779
Feb 2007,372874
Jan 2007,393140
Dec 2006,383205
Nov 2006,339118
Oct 2006,334016
Sep 2006,333514
Aug 2006,364972
Jul 2006,370925
Jun 2006,348095
May 2006,350535
Apr 2006,332248
Mar 2006,348293
Feb 2006,321045
Jan 2006,360316
Dec 2005,408522
Nov 2005,359387
Oct 2005,366305
Sep 2005,345907
Aug 2005,351805
Jul 2005,386093
Jun 2005,321710
May 2005,333997
Apr 2005,326147
Mar 2005,379650
Feb 2005,356495
Jan 2005,405016
Dec 2004,413128
Nov 2004,368685
Oct 2004,335533
Sep 2004,344621
Aug 2004,360244
Jul 2004,374651
Jun 2004,341934
May 2004,326541
Apr 2004,325105
Mar 2004,348992
Feb 2004,345930
Jan 2004,373195
Dec 2003,364161
Nov 2003,316721
Oct 2003,331005
Sep 2003,320676
Aug 2003,331628
Jul 2003,340532
Jun 2003,306878
May 2003,325157
Apr 2003,314655
Mar 2003,324364
Feb 2003,308804
Jan 2003,359168
Dec 2002,370729
Nov 2002,330544
Oct 2002,343427
Sep 2002,335594
Aug 2002,356013
Jul 2002,344641
Jun 2002,318002
May 2002,319404
Apr 2002,315116
Mar 2002,332596
Feb 2002,305917
Jan 2002,343481
Dec 2001,309673
Nov 2001,291044
Oct 2001,326114
Sep 2001,314864
Aug 2001,353338
Jul 2001,364571
Jun 2001,317414
May 2001,321878
Apr 2001,318573
Mar 2001,358103
Feb 2001,328289
Jan 2001,373077
Dec 2000,371425
