DATE,INTDSRUSM193N
1/1/2001,5.52
2/1/2001,5
3/1/2001,4.81
4/1/2001,4.28
5/1/2001,3.73
6/1/2001,3.47
7/1/2001,3.25
8/1/2001,3.16
9/1/2001,2.77
10/1/2001,2.02
11/1/2001,1.58
12/1/2001,1.33
1/1/2002,1.25
2/1/2002,1.25
3/1/2002,1.25
4/1/2002,1.25
5/1/2002,1.25
6/1/2002,1.25
7/1/2002,1.25
8/1/2002,1.25
9/1/2002,1.25
10/1/2002,1.25
11/1/2002,0.83
12/1/2002,0.75
1/1/2003,2.25
2/1/2003,2.25
3/1/2003,2.25
4/1/2003,2.25
5/1/2003,2.25
6/1/2003,2
7/1/2003,2
8/1/2003,2
9/1/2003,2
10/1/2003,2
11/1/2003,2
12/1/2003,2
1/1/2004,2
2/1/2004,2
3/1/2004,2
4/1/2004,2
5/1/2004,2
6/1/2004,2.25
7/1/2004,2.25
8/1/2004,2.5
9/1/2004,2.75
10/1/2004,2.75
11/1/2004,3
12/1/2004,3.25
1/1/2005,3.25
2/1/2005,3.5
3/1/2005,3.75
4/1/2005,3.75
5/1/2005,4
6/1/2005,4.25
7/1/2005,4.25
8/1/2005,4.5
9/1/2005,4.75
10/1/2005,4.75
11/1/2005,5
12/1/2005,5.25
1/1/2006,5.5
2/1/2006,5.5
3/1/2006,5.75
4/1/2006,5.75
5/1/2006,6
6/1/2006,6.25
7/1/2006,6.25
8/1/2006,6.25
9/1/2006,6.25
10/1/2006,6.25
11/1/2006,6.25
12/1/2006,6.25
1/1/2007,6.25
2/1/2007,6.25
3/1/2007,6.25
4/1/2007,6.25
5/1/2007,6.25
6/1/2007,6.25
7/1/2007,6.25
8/1/2007,5.75
9/1/2007,5.25
10/1/2007,5
11/1/2007,5
12/1/2007,4.75
1/1/2008,3.5
2/1/2008,3.5
3/1/2008,2.5
4/1/2008,2.25
5/1/2008,2.25
6/1/2008,2.25
7/1/2008,2.25
8/1/2008,2.25
9/1/2008,2.25
10/1/2008,1.25
11/1/2008,1.25
12/1/2008,0.5
1/1/2009,0.5
2/1/2009,0.5
3/1/2009,0.5
4/1/2009,0.5
5/1/2009,0.5
6/1/2009,0.5
7/1/2009,0.5
8/1/2009,0.5
9/1/2009,0.5
10/1/2009,0.5
11/1/2009,0.5
12/1/2009,0.5
1/1/2010,0.5
2/1/2010,0.75
3/1/2010,0.75
4/1/2010,0.75
5/1/2010,0.75
6/1/2010,0.75
7/1/2010,0.75
8/1/2010,0.75
9/1/2010,0.75
10/1/2010,0.75
11/1/2010,0.75
12/1/2010,0.75
1/1/2011,0.75
2/1/2011,0.75
3/1/2011,0.75
4/1/2011,0.75
5/1/2011,0.75
6/1/2011,0.75
7/1/2011,0.75
8/1/2011,0.75
9/1/2011,0.75
10/1/2011,0.75
11/1/2011,0.75
12/1/2011,0.75
1/1/2012,0.75
2/1/2012,0.75
3/1/2012,0.75
4/1/2012,0.75
5/1/2012,0.75
6/1/2012,0.75
7/1/2012,0.75
8/1/2012,0.75
9/1/2012,0.75
10/1/2012,0.75
11/1/2012,0.75
12/1/2012,0.75
1/1/2013,0.75
2/1/2013,0.75
3/1/2013,0.75
4/1/2013,0.75
5/1/2013,0.75
6/1/2013,0.75
7/1/2013,0.75
8/1/2013,0.75
9/1/2013,0.75
10/1/2013,0.75
11/1/2013,0.75
12/1/2013,0.75
1/1/2014,0.75
2/1/2014,0.75
3/1/2014,0.75
4/1/2014,0.75
5/1/2014,0.75
6/1/2014,0.75
7/1/2014,0.75
8/1/2014,0.75
9/1/2014,0.75
10/1/2014,0.75
11/1/2014,0.75
12/1/2014,0.75
1/1/2015,0.75
2/1/2015,0.75
3/1/2015,0.75
4/1/2015,0.75
5/1/2015,0.75
6/1/2015,0.75
7/1/2015,0.75
8/1/2015,0.75
9/1/2015,0.75
10/1/2015,0.75
11/1/2015,0.75
12/1/2015,1
1/1/2016,1
2/1/2016,1
3/1/2016,1
4/1/2016,1
5/1/2016,1
6/1/2016,1
7/1/2016,1
8/1/2016,1
9/1/2016,1
10/1/2016,1
11/1/2016,1
12/1/2016,1.25
1/1/2017,1.25
2/1/2017,1.25
3/1/2017,1.5
4/1/2017,1.5
5/1/2017,1.5
6/1/2017,1.75
7/1/2017,1.75
8/1/2017,1.75
9/1/2017,1.75
10/1/2017,1.75
11/1/2017,1.75
12/1/2017,2
1/1/2018,2
2/1/2018,2
3/1/2018,2.25
4/1/2018,2.25
5/1/2018,2.25
6/1/2018,2.5
7/1/2018,2.5
8/1/2018,2.5
9/1/2018,2.75
10/1/2018,2.75
11/1/2018,2.75
12/1/2018,3
1/1/2019,3
2/1/2019,3
3/1/2019,3
4/1/2019,3
5/1/2019,3
6/1/2019,3
7/1/2019,3
8/1/2019,2.75
9/1/2019,2.5
10/1/2019,2.25
11/1/2019,2.25
12/1/2019,2.25
1/1/2020,2.25
2/1/2020,2.25
3/1/2020,0.25
4/1/2020,0.25
5/1/2020,0.25
6/1/2020,0.25
7/1/2020,0.25
8/1/2020,0.25
9/1/2020,0.25
10/1/2020,0.25
11/1/2020,0.25
12/1/2020,0.25
1/1/2021,0.25
2/1/2021,0.25
3/1/2021,0.25
4/1/2021,0.25
5/1/2021,0.25
6/1/2021,0.25
7/1/2021,0.25
8/1/2021,0.25
