Back to Contents,Data 1: U.S. Gasoline and Diesel Retail Prices,,,,,,,,,,,,,,,
Sourcekey,EMM_EPM0_PTE_NUS_DPG,EMM_EPM0U_PTE_NUS_DPG,EMM_EPM0R_PTE_NUS_DPG,EMM_EPMR_PTE_NUS_DPG,EMM_EPMRU_PTE_NUS_DPG,EMM_EPMRR_PTE_NUS_DPG,EMM_EPMM_PTE_NUS_DPG,EMM_EPMMU_PTE_NUS_DPG,EMM_EPMMR_PTE_NUS_DPG,EMM_EPMP_PTE_NUS_DPG,EMM_EPMPU_PTE_NUS_DPG,EMM_EPMPR_PTE_NUS_DPG,EMD_EPD2D_PTE_NUS_DPG,EMD_EPD2DXL0_PTE_NUS_DPG,EMD_EPD2DM10_PTE_NUS_DPG,
Date,U.S. All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),U.S. All Grades Conventional Retail Gasoline Prices (Dollars per Gallon),U.S. All Grades Reformulated Retail Gasoline Prices (Dollars per Gallon),U.S. Regular All Formulations Retail Gasoline Prices (Dollars per Gallon),U.S. Regular Conventional Retail Gasoline Prices (Dollars per Gallon),U.S. Regular Reformulated Retail Gasoline Prices (Dollars per Gallon),U.S. Midgrade All Formulations Retail Gasoline Prices (Dollars per Gallon),U.S. Midgrade Conventional Retail Gasoline Prices (Dollars per Gallon),U.S. Midgrade Reformulated Retail Gasoline Prices (Dollars per Gallon),U.S. Premium All Formulations Retail Gasoline Prices (Dollars per Gallon),U.S. Premium Conventional Retail Gasoline Prices (Dollars per Gallon),U.S. Premium Reformulated Retail Gasoline Prices (Dollars per Gallon),U.S. No 2 Diesel Retail Prices (Dollars per Gallon),U.S. No 2 Diesel Ultra Low Sulfur (0-15 ppm) Retail Prices (Dollars per Gallon),U.S. No 2 Diesel Low Sulfur (15-500 ppm) Retail Prices (Dollars per Gallon),
Aug-1990,,,,,,,,,,,,,,,,
Sep-1990,,,,1.258,1.258,,,,,,,,,,,
Oct-1990,,,,1.335,1.335,,,,,,,,,,,
Nov-1990,,,,1.324,1.324,,,,,,,,,,,
Dec-1990,,,,,,,,,,,,,,,,
Jan-1991,,,,,,,,,,,,,,,,
Feb-1991,,,,1.094,1.094,,,,,,,,,,,
Mar-1991,,,,1.04,1.04,,,,,,,,,,,
Apr-1991,,,,1.076,1.076,,,,,,,,,,,
May-1991,,,,1.126,1.126,,,,,,,,,,,
Jun-1991,,,,1.128,1.128,,,,,,,,,,,
Jul-1991,,,,1.096,1.096,,,,,,,,,,,
Aug-1991,,,,1.115,1.115,,,,,,,,,,,
Sep-1991,,,,1.109,1.109,,,,,,,,,,,
Oct-1991,,,,1.088,1.088,,,,,,,,,,,
Nov-1991,,,,1.099,1.099,,,,,,,,,,,
Dec-1991,,,,1.076,1.076,,,,,,,,,,,
Jan-1992,,,,1.022,1.022,,,,,,,,,,,
Feb-1992,,,,1.006,1.006,,,,,,,,,,,
Mar-1992,,,,1.013,1.013,,,,,,,,,,,
Apr-1992,,,,1.052,1.052,,,,,,,,,,,
May-1992,,,,1.107,1.107,,,,,,,,,,,
Jun-1992,,,,1.145,1.145,,,,,,,,,,,
Jul-1992,,,,1.137,1.137,,,,,,,,,,,
Aug-1992,,,,1.122,1.122,,,,,,,,,,,
Sep-1992,,,,1.122,1.122,,,,,,,,,,,
Oct-1992,,,,1.114,1.114,,,,,,,,,,,
Nov-1992,,,,1.111,1.111,,,,,,,,,,,
Dec-1992,,,,1.078,1.078,,,,,,,,,,,
Jan-1993,,,,1.062,1.062,,,,,,,,,,,
Feb-1993,,,,1.054,1.054,,,,,,,,,,,
Mar-1993,,,,1.052,1.052,,,,,,,,,,,
Apr-1993,1.078,,,1.078,1.078,,,,,,,,,,,
May-1993,1.1,,,1.1,1.1,,,,,,,,,,,
Jun-1993,1.097,,,1.097,1.097,,,,,,,,,,,
Jul-1993,1.078,,,1.078,1.078,,,,,,,,,,,
Aug-1993,1.062,,,1.062,1.062,,,,,,,,,,,
Sep-1993,1.05,,,1.05,1.05,,,,,,,,,,,
Oct-1993,1.092,,,1.092,1.092,,,,,,,,,,,
Nov-1993,1.066,,,1.066,1.066,,,,,,,,,,,
Dec-1993,1.014,,,1.014,1.014,,,,,,,,,,,
Jan-1994,0.998,,,0.998,0.998,,,,,,,,,,,
Feb-1994,1.009,,,1.009,1.009,,,,,,,,,,,
Mar-1994,1.008,,,1.008,1.008,,,,,,,,,,,
Apr-1994,1.027,,,1.027,1.027,,,,,,,,1.107,,,
May-1994,1.047,,,1.047,1.047,,,,,,,,1.1,,,
Jun-1994,1.078,,,1.078,1.078,,,,,,,,1.103,,,
Jul-1994,1.106,,,1.106,1.106,,,,,,,,1.11,,,
Aug-1994,1.155,,,1.155,1.155,,,,,,,,1.123,,,
Sep-1994,1.144,,,1.144,1.144,,,,,,,,1.125,,,
Oct-1994,1.114,,,1.114,1.114,,,,,,,,1.122,,,
Nov-1994,1.119,,,1.116,1.11,,,,,,,,1.131,,,
Dec-1994,1.129,1.112,1.229,1.091,1.06,1.167,1.184,1.152,1.267,1.285,1.24,1.363,1.113,,,
Jan-1995,1.13,1.107,1.228,1.082,1.066,1.166,1.174,1.161,1.297,1.275,1.253,1.381,1.098,,,
Feb-1995,1.12,1.099,1.215,1.073,1.058,1.156,1.165,1.153,1.282,1.265,1.245,1.365,1.088,,,
Mar-1995,1.119,1.099,1.203,1.072,1.059,1.142,1.161,1.152,1.269,1.258,1.24,1.353,1.088,,,
Apr-1995,1.157,1.143,1.213,1.111,1.104,1.156,1.199,1.195,1.277,1.295,1.283,1.361,1.104,,,
May-1995,1.225,1.213,1.27,1.178,1.172,1.216,1.268,1.266,1.332,1.364,1.357,1.416,1.126,,,
Jun-1995,1.239,1.226,1.285,1.192,1.186,1.234,1.283,1.28,1.346,1.379,1.372,1.432,1.12,,,
Jul-1995,1.201,1.189,1.258,1.154,1.148,1.205,1.245,1.242,1.323,1.342,1.334,1.406,1.1,,,
Aug-1995,1.17,1.161,1.218,1.123,1.12,1.164,1.213,1.213,1.285,1.311,1.306,1.368,1.105,,,
Sep-1995,1.158,1.148,1.203,1.111,1.108,1.147,1.2,1.2,1.268,1.298,1.292,1.356,1.119,,,
Oct-1995,1.134,1.122,1.192,1.087,1.082,1.132,1.175,1.173,1.257,1.273,1.264,1.345,1.115,,,
Nov-1995,1.109,1.098,1.165,1.062,1.058,1.104,1.151,1.148,1.234,1.247,1.241,1.312,1.12,,,
Dec-1995,1.118,1.105,1.167,1.071,1.066,1.11,1.161,1.155,1.234,1.255,1.246,1.313,1.13,,,
Jan-1996,1.137,1.123,1.184,1.09,1.084,1.129,1.179,1.172,1.249,1.276,1.265,1.332,1.145,,,
Feb-1996,1.136,1.121,1.187,1.089,1.082,1.129,1.179,1.171,1.255,1.274,1.262,1.334,1.145,,,
Mar-1996,1.183,1.169,1.227,1.137,1.129,1.171,1.225,1.218,1.292,1.32,1.309,1.369,1.183,,,
Apr-1996,1.275,1.259,1.339,1.231,1.22,1.277,1.316,1.308,1.408,1.411,1.397,1.474,1.275,,,
May-1996,1.324,1.302,1.422,1.279,1.263,1.353,1.363,1.352,1.49,1.462,1.443,1.553,1.273,,,
Jun-1996,1.3,1.282,1.403,1.256,1.243,1.346,1.338,1.331,1.475,1.437,1.422,1.539,1.201,,,
Jul-1996,1.272,1.254,1.359,1.227,1.215,1.302,1.311,1.304,1.431,1.409,1.393,1.498,1.176,,,
Aug-1996,1.251,1.238,1.314,1.207,1.199,1.259,1.29,1.287,1.386,1.386,1.377,1.455,1.201,,,
Sep-1996,1.247,1.238,1.288,1.202,1.2,1.236,1.286,1.287,1.357,1.38,1.375,1.43,1.265,,,
