U.S. All Grades All Formulations Retail Gasoline Prices Weekly,
https://www.eia.gov/opendata/qb.php?category=240692&sdid=PET.EMM_EPM0_PTE_NUS_DPG.W,
20:13:01 GMT-0700 (Pacific Daylight Time),
Source: U.S. Energy Information Administration,
Week of,Series ID: PET.EMM_EPM0_PTE_NUS_DPG.W Dollars per Gallon
5/2/2022,4.285
4/25/2022,4.211
4/18/2022,4.17
4/11/2022,4.196
4/4/2022,4.274
3/28/2022,4.334
3/21/2022,4.343
3/14/2022,4.414
3/7/2022,4.196
2/28/2022,3.701
2/21/2022,3.624
2/14/2022,3.581
2/7/2022,3.538
1/31/2022,3.464
1/24/2022,3.421
1/17/2022,3.404
1/10/2022,3.394
1/3/2022,3.381
12/27/2021,3.375
12/20/2021,3.395
12/13/2021,3.414
12/6/2021,3.44
11/29/2021,3.478
11/22/2021,3.493
11/15/2021,3.495
11/8/2021,3.505
11/1/2021,3.484
10/25/2021,3.476
10/18/2021,3.416
10/11/2021,3.36
10/4/2021,3.285
9/27/2021,3.271
9/20/2021,3.28
9/13/2021,3.262
9/6/2021,3.273
8/30/2021,3.237
8/23/2021,3.243
8/16/2021,3.272
8/9/2021,3.269
8/2/2021,3.256
7/26/2021,3.232
7/19/2021,3.247
7/12/2021,3.227
7/5/2021,3.216
6/28/2021,3.185
6/21/2021,3.153
6/14/2021,3.161
6/7/2021,3.128
5/31/2021,3.119
5/24/2021,3.112
5/17/2021,3.118
5/10/2021,3.051
5/3/2021,2.981
4/26/2021,2.962
4/19/2021,2.945
4/12/2021,2.939
4/5/2021,2.945
3/29/2021,2.941
3/22/2021,2.954
3/15/2021,2.94
3/8/2021,2.857
3/1/2021,2.796
2/22/2021,2.717
2/15/2021,2.588
2/8/2021,2.548
2/1/2021,2.495
1/25/2021,2.478
1/18/2021,2.464
1/11/2021,2.403
1/4/2021,2.336
12/28/2020,2.33
12/21/2020,2.311
12/14/2020,2.247
12/7/2020,2.246
11/30/2020,2.211
11/23/2020,2.194
11/16/2020,2.202
11/9/2020,2.188
11/2/2020,2.204
10/26/2020,2.234
10/19/2020,2.24
10/12/2020,2.257
10/5/2020,2.262
9/28/2020,2.259
9/21/2020,2.259
9/14/2020,2.274
9/7/2020,2.302
8/31/2020,2.311
8/24/2020,2.272
8/17/2020,2.256
8/10/2020,2.256
8/3/2020,2.266
7/27/2020,2.265
7/20/2020,2.275
7/13/2020,2.283
7/6/2020,2.265
6/29/2020,2.26
6/22/2020,2.216
6/15/2020,2.185
6/8/2020,2.123
6/1/2020,2.064
5/25/2020,2.049
5/18/2020,1.969
5/11/2020,1.941
5/4/2020,1.883
4/27/2020,1.87
4/20/2020,1.91
4/13/2020,1.951
4/6/2020,2.022
3/30/2020,2.103
3/23/2020,2.217
3/16/2020,2.343
3/9/2020,2.468
3/2/2020,2.514
2/24/2020,2.555
2/17/2020,2.518
2/10/2020,2.511
2/3/2020,2.546
1/27/2020,2.595
1/20/2020,2.625
1/13/2020,2.657
1/6/2020,2.665
12/30/2019,2.658
12/23/2019,2.621
12/16/2019,2.627
12/9/2019,2.652
12/2/2019,2.667
11/25/2019,2.672
11/18/2019,2.688
11/11/2019,2.711
11/4/2019,2.702
10/28/2019,2.692
10/21/2019,2.735
10/14/2019,2.727
10/7/2019,2.742
9/30/2019,2.737
9/23/2019,2.741
9/16/2019,2.64
9/9/2019,2.638
9/2/2019,2.651
8/26/2019,2.661
8/19/2019,2.684
8/12/2019,2.71
8/5/2019,2.772
7/29/2019,2.798
7/22/2019,2.833
7/15/2019,2.86
7/8/2019,2.827
7/1/2019,2.798
6/24/2019,2.741
6/17/2019,2.759
6/10/2019,2.821
6/3/2019,2.893
5/27/2019,2.909
5/20/2019,2.939
5/13/2019,2.954
5/6/2019,2.983
4/29/2019,2.972
4/22/2019,2.926
4/15/2019,2.912
4/8/2019,2.826
4/1/2019,2.77
3/25/2019,2.701
3/18/2019,2.625
3/11/2019,2.549
3/4/2019,2.502
2/25/2019,2.471
2/18/2019,2.4
2/11/2019,2.361
2/4/2019,2.341
1/28/2019,2.343
1/21/2019,2.34
1/14/2019,2.338
1/7/2019,2.329
12/31/2018,2.358
12/24/2018,2.413
12/17/2018,2.46
12/10/2018,2.511
12/3/2018,2.544
11/26/2018,2.63
11/19/2018,2.7
11/12/2018,2.773
11/5/2018,2.84
10/29/2018,2.896
10/22/2018,2.925
10/15/2018,2.961
10/8/2018,2.984
10/1/2018,2.947
9/24/2018,2.923
9/17/2018,2.921
9/10/2018,2.912
9/3/2018,2.903
8/27/2018,2.906
8/20/2018,2.9
8/13/2018,2.921
8/6/2018,2.93
7/30/2018,2.924
7/23/2018,2.911
7/16/2018,2.943
7/9/2018,2.937
