U.S. Natural Gas Marketed Production
https://www.eia.gov/dnav/ng/hist/n9050us2m.htm
21:01:03 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Month,U.S. Natural Gas Marketed Production  Million Cubic Feet
Feb 2022,2856356
Jan 2022,3180818
Dec 2021,3266272
Nov 2021,3161306
Oct 2021,3219612
Sep 2021,3049920
Aug 2021,3172847
Jul 2021,3150909
Jun 2021,3036055
May 2021,3130208
Apr 2021,3035804
Mar 2021,3091762
Feb 2021,2586408
Jan 2021,3110352
Dec 2020,3088701
Nov 2020,2984528
Oct 2020,2991827
Sep 2020,2917569
Aug 2020,3011580
Jul 2020,3021331
Jun 2020,2873001
May 2020,2927037
Apr 2020,3011842
Mar 2020,3196236
Feb 2020,2984616
Jan 2020,3194177
Dec 2019,3234746
Nov 2019,3133926
Oct 2019,3186150
Sep 2019,3056535
Aug 2019,3146384
Jul 2019,3071698
Jun 2019,2956304
May 2019,3046445
Apr 2019,2925844
Mar 2019,3008808
Feb 2019,2705249
Jan 2019,2974830
Dec 2018,2975914
Nov 2018,2894098
Oct 2018,2939250
Sep 2018,2808817
Aug 2018,2855600
Jul 2018,2799146
Jun 2018,2655954
May 2018,2730667
Apr 2018,2612541
Mar 2018,2704217
Feb 2018,2414348
Jan 2018,2618315
Dec 2017,2662670
Nov 2017,2558771
Oct 2017,2564255
Sep 2017,2438213
Aug 2017,2476180
Jul 2017,2477573
Jun 2017,2373176
May 2017,2428739
Apr 2017,2350432
Mar 2017,2425799
Feb 2017,2142588
Jan 2017,2339431
Dec 2016,2357556
Nov 2016,2307494
Oct 2016,2364679
Sep 2016,2297402
Aug 2016,2389813
Jul 2016,2408915
Jun 2016,2312288
May 2016,2412475
Apr 2016,2361554
Mar 2016,2441976
Feb 2016,2310521
Jan 2016,2435375
Dec 2015,2434920
Nov 2015,2356237
Oct 2015,2445042
Sep 2015,2383531
Aug 2015,2447534
Jul 2015,2444753
Jun 2015,2358416
May 2015,2442713
Apr 2015,2398440
Mar 2015,2443119
Feb 2015,2196987
Jan 2015,2420352
Dec 2014,2410202
Nov 2014,2314517
Oct 2014,2407070
Sep 2014,2306544
Aug 2014,2384273
Jul 2014,2371359
Jun 2014,2247082
May 2014,2310058
Apr 2014,2247677
Mar 2014,2267138
Feb 2014,2033039
Jan 2014,2198795
Dec 2013,2177887
Nov 2013,2143606
Oct 2013,2192600
Sep 2013,2115463
Aug 2013,2191677
Jul 2013,2196404
Jun 2013,2084393
May 2013,2157048
Apr 2013,2094623
Mar 2013,2136856
Feb 2013,1935275
Jan 2013,2136400
Dec 2012,2152640
Nov 2012,2101833
Oct 2012,2168774
Sep 2012,2094289
Aug 2012,2151742
Jul 2012,2162384
Jun 2012,2039909
May 2012,2121367
Apr 2012,2044519
Mar 2012,2118693
Feb 2012,1974431
Jan 2012,2152698
Dec 2011,2134904
Nov 2011,2076152
Oct 2011,2118735
Sep 2011,1987134
Aug 2011,2056617
Jul 2011,2032795
Jun 2011,1954453
May 2011,2030695
Apr 2011,1960847
Mar 2011,2002359
Feb 2011,1728929
Jan 2011,1952732
Dec 2010,1984174
Nov 2010,1892658
Oct 2010,1956114
Sep 2010,1861038
Aug 2010,1917995
Jul 2010,1896082
Jun 2010,1802492
May 2010,1886476
Apr 2010,1813312
Mar 2010,1864519
Feb 2010,1682869
Jan 2010,1824143
Dec 2009,1802449
Nov 2009,1757520
Oct 2009,1814913
Sep 2009,1733980
Aug 2009,1842284
Jul 2009,1827798
Jun 2009,1791993
May 2009,1843327
Apr 2009,1783234
Mar 2009,1875053
Feb 2009,1704919
Jan 2009,1870465
Dec 2008,1826966
Nov 2008,1757942
Oct 2008,1754251
Sep 2008,1559028
Aug 2008,1826392
Jul 2008,1852724
Jun 2008,1760998
May 2008,1797917
Apr 2008,1740229
Mar 2008,1804065
Feb 2008,1666095
Jan 2008,1765447
Dec 2007,1775203
Nov 2007,1712314
Oct 2007,1733373
Sep 2007,1674745
Aug 2007,1712771
Jul 2007,1703237
Jun 2007,1666465
May 2007,1722549
Apr 2007,1626673
Mar 2007,1703085
Feb 2007,1513461
Jan 2007,1652470
Dec 2006,1685065
Nov 2006,1615322
Oct 2006,1675387
Sep 2006,1617442
Aug 2006,1656034
Jul 2006,1650313
Jun 2006,1614061
May 2006,1632139
Apr 2006,1570546
Mar 2006,1631383
Feb 2006,1450983
Jan 2006,1611000
Dec 2005,1592533
Nov 2005,1514407
Oct 2005,1475622
Sep 2005,1400941
Aug 2005,1619414
Jul 2005,1627427
Jun 2005,1611743
May 2005,1652081
Apr 2005,1614614
Mar 2005,1687347
Feb 2005,1498281
Jan 2005,1632685
Dec 2004,1626834
Nov 2004,1583720
Oct 2004,1620423
Sep 2004,1550376
Aug 2004,1654093
Jul 2004,1668490
Jun 2004,1619097
May 2004,1654209
Apr 2004,1629220
Mar 2004,1685174
Feb 2004,1551457
Jan 2004,1674398
Dec 2003,1673106
