Weekly California Regular All Formulations Retail Gasoline Prices,
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMM_EPMR_PTE_SCA_DPG&f=W,
20:42:20 GMT-0700 (Pacific Daylight Time),
Source: U.S. Energy Information Administration,
Week of,Weekly California Regular All Formulations Retail Gasoline Prices Dollars per Gallon
5/2/2022,5.526
4/25/2022,5.514
4/18/2022,5.545
4/11/2022,5.619
4/4/2022,5.714
3/28/2022,5.764
3/21/2022,5.71
3/14/2022,5.587
3/7/2022,5.187
2/28/2022,4.671
2/21/2022,4.57
2/14/2022,4.524
2/7/2022,4.507
1/31/2022,4.488
1/24/2022,4.486
1/17/2022,4.497
1/10/2022,4.503
1/3/2022,4.501
12/27/2021,4.485
12/20/2021,4.503
12/13/2021,4.513
12/6/2021,4.53
11/29/2021,4.554
11/22/2021,4.551
11/15/2021,4.532
11/8/2021,4.473
11/1/2021,4.439
10/25/2021,4.393
10/18/2021,4.339
10/11/2021,4.268
10/4/2021,4.241
9/27/2021,4.217
9/20/2021,4.217
9/13/2021,4.225
9/6/2021,4.227
8/30/2021,4.226
8/23/2021,4.232
8/16/2021,4.256
8/9/2021,4.234
8/2/2021,4.213
7/26/2021,4.174
7/19/2021,4.179
7/12/2021,4.165
7/5/2021,4.141
6/28/2021,4.126
6/21/2021,4.087
6/14/2021,4.086
6/7/2021,4.078
5/31/2021,4.057
5/24/2021,4.014
5/17/2021,3.981
5/10/2021,3.952
5/3/2021,3.906
4/26/2021,3.862
4/19/2021,3.835
4/12/2021,3.803
4/5/2021,3.787
3/29/2021,3.77
3/22/2021,3.76
3/15/2021,3.731
3/8/2021,3.638
3/1/2021,3.563
2/22/2021,3.451
2/15/2021,3.35
2/8/2021,3.316
2/1/2021,3.272
1/25/2021,3.245
1/18/2021,3.213
1/11/2021,3.145
1/4/2021,3.1
12/28/2020,3.085
12/21/2020,3.06
12/14/2020,3.04
12/7/2020,3.041
11/30/2020,3.032
11/23/2020,3.025
11/16/2020,3.027
11/9/2020,3.029
11/2/2020,3.033
10/26/2020,3.051
10/19/2020,3.047
10/12/2020,3.049
10/5/2020,3.061
9/28/2020,3.069
9/21/2020,3.086
9/14/2020,3.102
9/7/2020,3.106
8/31/2020,3.1
8/24/2020,3.092
8/17/2020,3.067
8/10/2020,3.054
8/3/2020,3.058
7/27/2020,3.049
7/20/2020,3.031
7/13/2020,3.022
7/6/2020,2.981
6/29/2020,2.963
6/22/2020,2.939
6/15/2020,2.891
6/8/2020,2.855
6/1/2020,2.798
5/25/2020,2.766
5/18/2020,2.688
5/11/2020,2.65
5/4/2020,2.635
4/27/2020,2.652
4/20/2020,2.7
4/13/2020,2.751
4/6/2020,2.872
3/30/2020,2.953
3/23/2020,3.066
3/16/2020,3.222
3/9/2020,3.325
3/2/2020,3.353
2/24/2020,3.36
2/17/2020,3.358
2/10/2020,3.366
2/3/2020,3.371
1/27/2020,3.388
1/20/2020,3.408
1/13/2020,3.419
1/6/2020,3.428
12/30/2019,3.438
12/23/2019,3.457
12/16/2019,3.508
12/9/2019,3.58
12/2/2019,3.674
11/25/2019,3.753
11/18/2019,3.847
11/11/2019,3.921
11/4/2019,3.953
10/28/2019,3.948
10/21/2019,4.03
10/14/2019,4.089
10/7/2019,4.091
9/30/2019,3.953
9/23/2019,3.613
9/16/2019,3.496
9/9/2019,3.494
9/2/2019,3.491
8/26/2019,3.44
8/19/2019,3.463
8/12/2019,3.487
8/5/2019,3.537
7/29/2019,3.551
7/22/2019,3.569
7/15/2019,3.605
7/8/2019,3.627
7/1/2019,3.621
6/24/2019,3.613
6/17/2019,3.678
6/10/2019,3.745
6/3/2019,3.83
5/27/2019,3.878
5/20/2019,3.934
5/13/2019,3.968
5/6/2019,4.006
4/29/2019,3.982
4/22/2019,3.948
4/15/2019,3.922
4/8/2019,3.718
4/1/2019,3.529
3/25/2019,3.389
3/18/2019,3.264
3/11/2019,3.223
3/4/2019,3.195
2/25/2019,3.184
2/18/2019,3.161
2/11/2019,3.155
2/4/2019,3.131
1/28/2019,3.13
1/21/2019,3.148
1/14/2019,3.161
1/7/2019,3.183
12/31/2018,3.219
12/24/2018,3.253
12/17/2018,3.271
12/10/2018,3.318
12/3/2018,3.399
11/26/2018,3.478
11/19/2018,3.526
11/12/2018,3.582
11/5/2018,3.644
10/29/2018,3.683
10/22/2018,3.709
10/15/2018,3.708
10/8/2018,3.707
10/1/2018,3.624
9/24/2018,3.527
9/17/2018,3.52
9/10/2018,3.513
9/3/2018,3.498
8/27/2018,3.471
8/20/2018,3.462
8/13/2018,3.491
8/6/2018,3.501
7/30/2018,3.505
7/23/2018,3.514
7/16/2018,3.535
7/9/2018,3.55
7/2/2018,3.546
6/25/2018,3.562
6/18/2018,3.591
6/11/2018,3.618
6/4/2018,3.632
5/28/2018,3.636
5/21/2018,3.618
5/14/2018,3.599
5/7/2018,3.632
4/30/2018,3.609
4/23/2018,3.567
4/16/2018,3.553
4/9/2018,3.522
4/2/2018,3.541
3/26/2018,3.487
3/19/2018,3.431
3/12/2018,3.392
3/5/2018,3.356
2/26/2018,3.36
2/19/2018,3.349
2/12/2018,3.358
2/5/2018,3.37
1/29/2018,3.296
1/22/2018,3.209
1/15/2018,3.196
1/8/2018,3.199
1/1/2018,3.148
12/25/2017,3.133
12/18/2017,3.106
12/11/2017,3.12
12/4/2017,3.16
11/27/2017,3.2
11/20/2017,3.222
11/13/2017,3.275
11/6/2017,3.243
10/30/2017,3.066
10/23/2017,3.064
10/16/2017,3.077
10/9/2017,3.083
10/2/2017,3.111
9/25/2017,3.143
9/18/2017,3.163
9/11/2017,3.186
9/4/2017,3.164
8/28/2017,3.035
8/21/2017,3.028
8/14/2017,3.014
8/7/2017,2.989
7/31/2017,2.981
7/24/2017,2.941
7/17/2017,2.934
7/10/2017,2.949
7/3/2017,2.946
6/26/2017,2.953
6/19/2017,2.996
6/12/2017,3.038
6/5/2017,3.104
5/29/2017,3.127
5/22/2017,3.094
5/15/2017,3.005
5/8/2017,2.986
5/1/2017,3.002
4/24/2017,3.017
4/17/2017,3.017
4/10/2017,3.008
4/3/2017,2.992
3/27/2017,2.998
3/20/2017,3.001
3/13/2017,3.005
3/6/2017,3
2/27/2017,2.956
2/20/2017,2.898
2/13/2017,2.874
2/6/2017,2.825
1/30/2017,2.791
1/23/2017,2.783
1/16/2017,2.794
1/9/2017,2.804
1/2/2017,2.779
12/26/2016,2.706
12/19/2016,2.67
12/12/2016,2.666
12/5/2016,2.682
11/28/2016,2.672
11/21/2016,2.69
11/14/2016,2.755
11/7/2016,2.809
10/31/2016,2.824
10/24/2016,2.798
10/17/2016,2.805
10/10/2016,2.799
10/3/2016,2.809
9/26/2016,2.764
9/19/2016,2.763
9/12/2016,2.753
9/5/2016,2.706
8/29/2016,2.709
8/22/2016,2.702
8/15/2016,2.643
8/8/2016,2.681
8/1/2016,2.725
7/25/2016,2.792
7/18/2016,2.858
7/11/2016,2.866
7/4/2016,2.91
6/27/2016,2.929
6/20/2016,2.866
6/13/2016,2.864
6/6/2016,2.84
5/30/2016,2.812
5/23/2016,2.804
5/16/2016,2.789
5/9/2016,2.786
5/2/2016,2.809
4/25/2016,2.775
4/18/2016,2.771
4/11/2016,2.75
4/4/2016,2.776
3/28/2016,2.782
3/21/2016,2.681
3/14/2016,2.596
3/7/2016,2.441
2/29/2016,2.406
2/22/2016,2.295
2/15/2016,2.378
2/8/2016,2.486
2/1/2016,2.551
1/25/2016,2.643
1/18/2016,2.712
1/11/2016,2.842
1/4/2016,2.875
12/28/2015,2.825
12/21/2015,2.736
12/14/2015,2.654
12/7/2015,2.679
11/30/2015,2.691
11/23/2015,2.716
11/16/2015,2.78
11/9/2015,2.824
11/2/2015,2.817
10/26/2015,2.847
10/19/2015,2.861
10/12/2015,2.914
10/5/2015,2.949
9/28/2015,2.994
9/21/2015,3.072
9/14/2015,3.155
9/7/2015,3.266
8/31/2015,3.342
8/24/2015,3.483
8/17/2015,3.584
8/10/2015,3.565
8/3/2015,3.724
7/27/2015,3.812
7/20/2015,3.897
7/13/2015,3.88
7/6/2015,3.432
6/29/2015,3.45
6/22/2015,3.48
6/15/2015,3.511
6/8/2015,3.591
6/1/2015,3.693
5/25/2015,3.757
5/18/2015,3.807
5/11/2015,3.732
5/4/2015,3.711
4/27/2015,3.433
4/20/2015,3.158
4/13/2015,3.102
4/6/2015,3.147
3/30/2015,3.209
3/23/2015,3.267
3/16/2015,3.356
3/9/2015,3.439
3/2/2015,3.418
2/23/2015,2.959
2/16/2015,2.798
2/9/2015,2.627
2/2/2015,2.441
1/26/2015,2.44
1/19/2015,2.484
1/12/2015,2.594
1/5/2015,2.671
12/29/2014,2.68
12/22/2014,2.75
12/15/2014,2.878
12/8/2014,2.979
12/1/2014,3.047
11/24/2014,3.072
11/17/2014,3.151
11/10/2014,3.217
11/3/2014,3.3
10/27/2014,3.39
10/20/2014,3.489
10/13/2014,3.598
10/6/2014,3.666
9/29/2014,3.693
9/22/2014,3.728
9/15/2014,3.786
9/8/2014,3.816
9/1/2014,3.843
8/25/2014,3.876
8/18/2014,3.898
8/11/2014,3.926
8/4/2014,3.948
7/28/2014,3.991
7/21/2014,4.034
7/14/2014,4.09
7/7/2014,4.128
6/30/2014,4.132
6/23/2014,4.102
6/16/2014,4.102
6/9/2014,4.106
6/2/2014,4.127
5/26/2014,4.135
5/19/2014,4.159
5/12/2014,4.169
5/5/2014,4.222
4/28/2014,4.254
4/21/2014,4.206
4/14/2014,4.156
4/7/2014,4.028
3/31/2014,3.997
3/24/2014,3.969
3/17/2014,3.958
3/10/2014,3.897
3/3/2014,3.855
2/24/2014,3.795
2/17/2014,3.697
2/10/2014,3.626
2/3/2014,3.59
1/27/2014,3.582
1/20/2014,3.589
1/13/2014,3.635
1/6/2014,3.667
12/30/2013,3.647
12/23/2013,3.594
12/16/2013,3.574
12/9/2013,3.58
12/2/2013,3.576
11/25/2013,3.547
11/18/2013,3.56
11/11/2013,3.603
11/4/2013,3.665
10/28/2013,3.718
10/21/2013,3.766
10/14/2013,3.791
10/7/2013,3.85
9/30/2013,3.932
9/23/2013,4.005
9/16/2013,4.051
9/9/2013,3.899
9/2/2013,3.822
8/26/2013,3.802
8/19/2013,3.83
8/12/2013,3.901
8/5/2013,3.95
7/29/2013,4.002
7/22/2013,4.036
7/15/2013,4.015
7/8/2013,3.985
7/1/2013,4.002
6/24/2013,4.075
6/17/2013,3.989
6/10/2013,3.969
6/3/2013,3.977
5/27/2013,4.022
5/20/2013,4.048
5/13/2013,4.04
5/6/2013,3.911
4/29/2013,3.905
4/22/2013,3.934
4/15/2013,3.992
4/8/2013,4.033
4/1/2013,4.053
3/25/2013,4.069
3/18/2013,4.12
3/11/2013,4.174
3/4/2013,4.212
2/25/2013,4.211
2/18/2013,4.154
2/11/2013,4.044
2/4/2013,3.904
1/28/2013,3.676
1/21/2013,3.63
1/14/2013,3.615
1/7/2013,3.605
12/31/2012,3.554
12/24/2012,3.506
12/17/2012,3.525
12/10/2012,3.619
12/3/2012,3.696
11/26/2012,3.747
11/19/2012,3.783
11/12/2012,3.858
11/5/2012,3.996
10/29/2012,4.169
10/22/2012,4.432
10/15/2012,4.623
10/8/2012,4.659
10/1/2012,4.176
9/24/2012,4.151
9/17/2012,4.155
9/10/2012,4.178
9/3/2012,4.176
8/27/2012,4.158
8/20/2012,4.129
8/13/2012,4.096
8/6/2012,3.868
7/30/2012,3.802
7/23/2012,3.808
7/16/2012,3.753
7/9/2012,3.733
7/2/2012,3.773
6/25/2012,3.887
6/18/2012,4.029
6/11/2012,4.164
6/4/2012,4.26
5/28/2012,4.312
5/21/2012,4.336
5/14/2012,4.367
5/7/2012,4.213
4/30/2012,4.186
4/23/2012,4.203
4/16/2012,4.235
4/9/2012,4.28
4/2/2012,4.322
3/26/2012,4.359
3/19/2012,4.375
3/12/2012,4.376
3/5/2012,4.358
2/27/2012,4.292
2/20/2012,4.035
2/13/2012,3.835
2/6/2012,3.758
1/30/2012,3.741
1/23/2012,3.714
1/16/2012,3.7
1/9/2012,3.707
1/2/2012,3.635
12/26/2011,3.576
12/19/2011,3.556
12/12/2011,3.611
12/5/2011,3.655
11/28/2011,3.718
11/21/2011,3.786
11/14/2011,3.84
11/7/2011,3.855
10/31/2011,3.846
10/24/2011,3.858
10/17/2011,3.864
10/10/2011,3.815
10/3/2011,3.835
9/26/2011,3.887
9/19/2011,3.923
9/12/2011,3.944
9/5/2011,3.944
8/29/2011,3.809
8/22/2011,3.734
8/15/2011,3.734
8/8/2011,3.798
8/1/2011,3.811
