Year,production(Mmcf),consumption(Mmcf),volumn(Mmcf),total_import(Mmcf),total_export,import_price($/Mmcf),export_price($/Mmcf),all_grades_price($/Gallon),reg_price($/Gallon),midg_price($/Gallon),prem_price($/Gallon),dis_price($/Gallon),all_conusmers(Mmcf),commercial_consumers(Mmcf),electric_consumers(Mmcf),industrual_consumers(Mcf),residential_consumers(Mmcf),vehicle_consumers(Mmcf),inflation(%),stock_to_GDP(%),working_population,Interest_Rate(%)
2001,1714191.1666666667,1853218.5833333333,6335558.333333333,331411.5,31106.58333333333,4.3575,4.383333333333334,1.4661666666666668,1.4260000000000002,1.5188333333333333,1.6079166666666669,1.4040833333333331,20495108.0,3022712.0,5342301.0,7344219.0,4771340.0,14536.0,2.82617111885402,132.148,181476647.0,3.41
2002,1657065.0,1918918.4166666667,6715545.416666667,334622.0,43019.333333333336,3.138333333333333,3.339166666666667,1.3818333333333337,1.3403333333333334,1.43525,1.5258333333333332,1.3153333333333332,21247016.0,3144170.0,5671897.0,7527184.0,4888818.0,14950.0,1.58603162650603,101.0791,183792729.0,1.1733333333333331
2003,1664530.0,1856375.0,6256804.666666667,328645.75,56660.25,5.180833333333333,5.5825000000000005,1.6010833333333334,1.5591666666666668,1.6563333333333334,1.7459999999999998,1.5083333333333335,20562727.0,3179493.0,5135215.0,7150396.0,5079351.0,18271.0,2.27009497336113,124.5066,186939817.0,2.1041666666666665
2004,1626457.5833333333,1866878.75,6460053.75,354879.9166666667,71178.08333333333,5.779166666666666,6.069166666666667,1.89125,1.84875,1.9469166666666664,2.0384166666666665,1.8075,20738454.0,3128972.0,5463763.0,7256408.0,4868797.0,20514.0,2.67723669309173,133.6506,188763071.0,2.395833333333333
2005,1577257.9166666667,1834536.3333333333,6492883.916666667,361752.8333333333,60716.66666666666,8.084999999999999,8.010833333333332,2.3121666666666667,2.2681666666666667,2.3675833333333336,2.4659166666666668,2.3986666666666667,20318892.0,2998920.0,5869145.0,6601168.0,4826775.0,22884.0,3.39274684549547,130.4083,191024953.0,4.25
2006,1617472.9166666667,1808256.0,6860306.666666667,348856.8333333333,60329.75,6.866666666666667,6.831666666666667,2.615083333333333,2.5691666666666664,2.673,2.775916666666667,2.705,19972881.0,2832030.0,6222100.0,6526546.0,4368466.0,23739.0,3.22594410070407,141.6542,193219398.0,6.020833333333333
2007,1683028.8333333333,1925316.1666666667,6837505.0,383965.1666666667,68537.83333333333,6.8725,6.905833333333334,2.8455,2.798583333333333,2.905666666666667,3.0095,2.8816666666666664,21256042.0,3012904.0,6841408.0,6654716.0,4722358.0,24655.0,2.85267248150136,137.8527,195663562.0,5.791666666666667
2008,1759337.8333333333,1939750.8333333333,6592182.166666667,332008.4166666667,80271.75,8.774166666666666,8.774166666666668,3.3050833333333336,3.2518333333333334,3.372916666666667,3.49175,3.806833333333333,21409349.0,3152529.0,6668379.0,6670182.0,4892277.0,25982.0,3.83910029665101,78.7766,196691536.0,2.1666666666666665
2009,1803994.5833333333,1909173.1666666667,7052343.0,312613.3333333333,89363.08333333333,4.136666666666667,4.354166666666667,2.3966666666666665,2.3435,2.4645,2.5812500000000003,2.4636666666666667,20964665.0,3118592.0,6872533.0,6167371.0,4778907.0,27262.0,-0.35554626629975,104.3488,197897475.0,0.5
2010,1865156.0,2007233.0,7052461.166666667,311730.0,94732.41666666669,4.464166666666666,5.03,2.8335833333333333,2.780333333333333,2.900916666666667,3.020083333333333,2.989333333333333,22127046.0,3102593.0,7387184.0,6826192.0,4782412.0,28664.0,1.64004344238989,115.2841,199183839.0,0.7291666666666666
2011,2003029.3333333333,2039785.4166666667,7004208.833333333,289057.75,125470.83333333331,4.221666666666667,4.640833333333333,3.576416666666667,3.5209166666666665,3.6441666666666666,3.771,3.845333333333333,22467053.0,3155319.0,7573863.0,6994120.0,4713777.0,29974.0,3.15684156862206,100.6313,199962562.0,0.75
