Year,Month,all_grades(Price_per_Gallon),regular(Price_per_Gallon),midgrade(Price_per_Gallon),premium(Price_per_Gallon),diesel(Price_per_Gallon)
2001,1,1.487,1.447,1.541,1.63,1.524
2001,2,1.49,1.45,1.544,1.635,1.492
2001,3,1.45,1.409,1.506,1.596,1.399
2001,4,1.591,1.552,1.646,1.732,1.422
2001,5,1.738,1.702,1.785,1.869,1.496
2001,6,1.658,1.616,1.712,1.801,1.482
2001,7,1.466,1.421,1.529,1.622,1.375
2001,8,1.461,1.421,1.51,1.601,1.39
2001,9,1.557,1.522,1.6,1.682,1.495
2001,10,1.357,1.315,1.409,1.499,1.348
2001,11,1.212,1.171,1.265,1.357,1.259
2001,12,1.127,1.086,1.179,1.271,1.167
2002,1,1.148,1.107,1.199,1.292,1.153
2002,2,1.155,1.114,1.208,1.297,1.152
2002,3,1.289,1.249,1.343,1.427,1.23
2002,4,1.439,1.397,1.494,1.582,1.309
2002,5,1.434,1.392,1.49,1.58,1.305
2002,6,1.424,1.382,1.478,1.567,1.286
2002,7,1.438,1.397,1.492,1.58,1.299
2002,8,1.438,1.396,1.491,1.583,1.328
2002,9,1.441,1.4,1.494,1.586,1.411
2002,10,1.486,1.445,1.537,1.629,1.462
2002,11,1.461,1.419,1.513,1.607,1.42
2002,12,1.429,1.386,1.484,1.58,1.429
2003,1,1.5,1.458,1.555,1.65,1.488
2003,2,1.655,1.613,1.709,1.798,1.654
2003,3,1.734,1.693,1.792,1.875,1.708
2003,4,1.633,1.589,1.694,1.78,1.533
2003,5,1.539,1.497,1.595,1.686,1.451
2003,6,1.533,1.493,1.586,1.674,1.424
2003,7,1.554,1.513,1.609,1.697,1.435
2003,8,1.661,1.62,1.714,1.799,1.487
2003,9,1.721,1.679,1.777,1.865,1.467
2003,10,1.606,1.564,1.66,1.753,1.481
2003,11,1.555,1.512,1.608,1.702,1.482
2003,12,1.522,1.479,1.577,1.673,1.49
2004,1,1.614,1.572,1.667,1.763,1.551
2004,2,1.69,1.648,1.744,1.837,1.582
2004,3,1.778,1.736,1.836,1.923,1.629
2004,4,1.839,1.798,1.895,1.979,1.692
2004,5,2.023,1.983,2.075,2.159,1.746
2004,6,2.013,1.969,2.069,2.162,1.711
2004,7,1.954,1.911,2.009,2.104,1.739
2004,8,1.92,1.878,1.974,2.067,1.833
2004,9,1.912,1.87,1.967,2.059,1.917
2004,10,2.042,2.0,2.098,2.187,2.134
2004,11,2.023,1.979,2.082,2.175,2.147
2004,12,1.887,1.841,1.947,2.046,2.009
2005,1,1.875,1.831,1.93,2.029,1.959
2005,2,1.953,1.91,2.008,2.101,2.027
2005,3,2.12,2.079,2.174,2.263,2.214
2005,4,2.285,2.243,2.342,2.429,2.292
2005,5,2.205,2.161,2.262,2.357,2.199
2005,6,2.198,2.156,2.251,2.347,2.29
2005,7,2.333,2.29,2.385,2.483,2.373
2005,8,2.529,2.486,2.58,2.679,2.5
2005,9,2.951,2.903,3.007,3.121,2.819
2005,10,2.765,2.717,2.827,2.934,3.095
2005,11,2.303,2.257,2.363,2.465,2.573
2005,12,2.229,2.185,2.282,2.383,2.443
2006,1,2.36,2.316,2.413,2.522,2.467
2006,2,2.326,2.28,2.383,2.485,2.475
2006,3,2.468,2.425,2.521,2.618,2.559
2006,4,2.787,2.742,2.84,2.944,2.728
2006,5,2.953,2.907,3.012,3.113,2.897
2006,6,2.93,2.885,2.988,3.088,2.898
2006,7,3.025,2.981,3.081,3.181,2.934
2006,8,2.999,2.952,3.056,3.163,3.045
2006,9,2.606,2.555,2.674,2.783,2.783
2006,10,2.293,2.245,2.355,2.458,2.519
2006,11,2.275,2.229,2.336,2.436,2.545
2006,12,2.359,2.313,2.417,2.52,2.61
2007,1,2.289,2.24,2.354,2.459,2.485
2007,2,2.323,2.278,2.385,2.479,2.488
2007,3,2.609,2.563,2.67,2.766,2.667
2007,4,2.891,2.845,2.953,3.052,2.834
2007,5,3.187,3.146,3.241,3.331,2.796
2007,6,3.102,3.056,3.161,3.263,2.808
2007,7,3.011,2.965,3.067,3.172,2.868
2007,8,2.834,2.786,2.892,3.004,2.869
2007,9,2.849,2.803,2.903,3.011,2.953
2007,10,2.853,2.803,2.918,3.028,3.075
2007,11,3.128,3.08,3.188,3.297,3.396
2007,12,3.07,3.018,3.136,3.252,3.341
2008,1,3.095,3.043,3.16,3.277,3.308
2008,2,3.078,3.028,3.141,3.256,3.377
2008,3,3.293,3.244,3.358,3.465,3.881
2008,4,3.507,3.458,3.571,3.679,4.084
2008,5,3.815,3.766,3.874,3.991,4.425
2008,6,4.105,4.054,4.169,4.284,4.677
2008,7,4.114,4.062,4.181,4.298,4.703
2008,8,3.833,3.779,3.902,4.022,4.302
2008,9,3.756,3.703,3.823,3.944,4.024
2008,10,3.112,3.051,3.192,3.321,3.576
2008,11,2.208,2.147,2.287,2.418,2.876
