Entity,Code,Year,Gas Consumption - TWh
Africa,,1965,9.543754166666666
Africa,,1966,10.669916111111112
Africa,,1967,10.545669722222224
Africa,,1968,10.688969722222222
Africa,,1969,12.491999722222223
Africa,,1970,15.520325
Africa,,1971,18.40526361111111
Africa,,1972,24.670656944444445
Africa,,1973,39.55179138888889
Africa,,1974,44.5184875
Africa,,1975,53.6383775
Africa,,1976,60.98139
Africa,,1977,68.23419083333333
Africa,,1978,97.36989777777777
Africa,,1979,148.84281583333333
Africa,,1980,186.9139772222222
Africa,,1981,228.4911561111111
Africa,,1982,246.7335486111111
Africa,,1983,271.27534694444444
Africa,,1984,259.9027805555556
Africa,,1985,278.84274694444446
Africa,,1986,313.2712025
Africa,,1987,323.38435722222226
Africa,,1988,358.44454055555553
Africa,,1989,371.4710411111111
Africa,,1990,398.6453844444444
Africa,,1991,401.6355930555556
Africa,,1992,421.2702575
Africa,,1993,412.6439775
Africa,,1994,431.8279522222222
Africa,,1995,461.24349777777775
Africa,,1996,484.19174805555554
Africa,,1997,474.4755361111111
Africa,,1998,499.3369944444444
Africa,,1999,504.0196075
Africa,,2000,556.8223563888889
Africa,,2001,634.6361538888889
Africa,,2002,670.605376111111
Africa,,2003,711.5067125
Africa,,2004,783.0682180555556
Africa,,2005,807.7815880555556
Africa,,2006,843.9347886111111
Africa,,2007,900.5199158333334
Africa,,2008,935.6593227777778
Africa,,2009,941.3703819444444
Africa,,2010,981.2584944444444
Africa,,2011,1061.085588611111
Africa,,2012,1147.1777358333331
Africa,,2013,1170.2537786111109
Africa,,2014,1241.3191608333332
Africa,,2015,1324.946863333333
Africa,,2016,1370.919078611111
Africa,,2017,1449.80345
Africa,,2018,1540.247786111111
Africa,,2019,1553.3842177777776
Africa,,2020,1529.68159
Algeria,DZA,1965,7.4305
Algeria,DZA,1966,7.71925
Algeria,DZA,1967,7.48825
Algeria,DZA,1968,7.87325
Algeria,DZA,1969,10.3516875
Algeria,DZA,1970,9.730875
Algeria,DZA,1971,11.0495
Algeria,DZA,1972,12.830125
Algeria,DZA,1973,17.8591875
Algeria,DZA,1974,20.6745
Algeria,DZA,1975,28.49
Algeria,DZA,1976,33.6875
Algeria,DZA,1977,35.901250000000005
Algeria,DZA,1978,57.65375
Algeria,DZA,1979,81.52375
Algeria,DZA,1980,109.43625
Algeria,DZA,1981,142.2575
Algeria,DZA,1982,161.41125
Algeria,DZA,1983,176.715
Algeria,DZA,1984,155.25125
Algeria,DZA,1985,153.80749999999998
Algeria,DZA,1986,168.4375
Algeria,DZA,1987,172.2875
Algeria,DZA,1988,194.13625
Algeria,DZA,1989,182.6825
Algeria,DZA,1990,195.09875
Algeria,DZA,1991,192.6925
Algeria,DZA,1992,198.94875
Algeria,DZA,1993,178.54375
Algeria,DZA,1994,188.16875
Algeria,DZA,1995,202.22125
Algeria,DZA,1996,207.7075
Algeria,DZA,1997,194.04
Algeria,DZA,1998,200.68125
Algeria,DZA,1999,205.10875
Algeria,DZA,2000,191.0129375
Algeria,DZA,2001,197.322125
Algeria,DZA,2002,194.838875
Algeria,DZA,2003,205.9316875
Algeria,DZA,2004,211.8991875
Algeria,DZA,2005,223.559875
Algeria,DZA,2006,228.4975
Algeria,DZA,2007,233.80681444444443
Algeria,DZA,2008,244.041875
Algeria,DZA,2009,262.117625
Algeria,DZA,2010,253.27225
Algeria,DZA,2011,267.969625
Algeria,DZA,2012,298.74075
Algeria,DZA,2013,321.215125
Algeria,DZA,2014,360.91825
Algeria,DZA,2015,379.225
Algeria,DZA,2016,385.9625
Algeria,DZA,2017,394.625
Algeria,DZA,2018,434.0875
Algeria,DZA,2019,451.4125
Algeria,DZA,2020,430.815
Argentina,ARG,1965,41.234
Argentina,ARG,1966,44.6572
Argentina,ARG,1967,46.69945
Argentina,ARG,1968,51.999575
Argentina,ARG,1969,51.805075
Argentina,ARG,1970,58.5445
Argentina,ARG,1971,63.202775
Argentina,ARG,1972,70.924425
Argentina,ARG,1973,80.707775
Argentina,ARG,1974,85.42439999999999
Argentina,ARG,1975,87.52499999999999
Argentina,ARG,1976,98.51425
Argentina,ARG,1977,102.8905
Argentina,ARG,1978,100.07025
Argentina,ARG,1979,102.8905
Argentina,ARG,1980,112.12925
Argentina,ARG,1981,117.18625
Argentina,ARG,1982,133.13525
Argentina,ARG,1983,143.152
Argentina,ARG,1984,152.39075
Argentina,ARG,1985,155.69725
Argentina,ARG,1986,168.2425
Argentina,ARG,1987,168.33975
Argentina,ARG,1988,196.6395
Argentina,ARG,1989,206.559
Argentina,ARG,1990,197.32025
Argentina,ARG,1991,200.9185
Argentina,ARG,1992,217.2565
Argentina,ARG,1993,229.41275
Argentina,ARG,1994,235.83125
Argentina,ARG,1995,262.47775
Argentina,ARG,1996,301.18325
Argentina,ARG,1997,277.5515
Argentina,ARG,1998,296.70975
Argentina,ARG,1999,314.701
Argentina,ARG,2000,322.96725
Argentina,ARG,2001,302.35025
Argentina,ARG,2002,294.37575
Argentina,ARG,2003,336.2905
Argentina,ARG,2004,368.09125
Argentina,ARG,2005,392.89
Argentina,ARG,2006,406.505
Argentina,ARG,2007,427.122
Argentina,ARG,2008,431.88725
Argentina,ARG,2009,418.3555827777778
Argentina,ARG,2010,420.8741655555555
Argentina,ARG,2011,438.3978869444444
Argentina,ARG,2012,456.6420933333333
Argentina,ARG,2013,460.2768897222222
Argentina,ARG,2014,461.5497905555556
Argentina,ARG,2015,466.5256827777777
Argentina,ARG,2016,482.1001119444445
Argentina,ARG,2017,483.00028555555554
Argentina,ARG,2018,487.0423969444445
Argentina,ARG,2019,465.5947283333333
Argentina,ARG,2020,439.29859583333337
Asia Pacific,,1965,56.231967777777776
Asia Pacific,,1966,62.38925305555556
Asia Pacific,,1967,71.39151194444445
Asia Pacific,,1968,77.81803055555557
Asia Pacific,,1969,102.60042444444444
Asia Pacific,,1970,142.32472527777776
Asia Pacific,,1971,169.55090916666666
Asia Pacific,,1972,196.4152638888889
Asia Pacific,,1973,242.4114608333333
Asia Pacific,,1974,302.3359213888889
Asia Pacific,,1975,351.24374666666665
Asia Pacific,,1976,406.0529113888888
Asia Pacific,,1977,499.8471169444444
Asia Pacific,,1978,599.6766680555555
Asia Pacific,,1979,685.4793230555556
Asia Pacific,,1980,735.7758755555556
Asia Pacific,,1981,743.9332625
Asia Pacific,,1982,773.78874
Asia Pacific,,1983,854.4700425
Asia Pacific,,1984,999.6436919444444
