Entity,Code,Year,Gas consumption per capita (BP & UN (2017 revision))
Africa,,1965,0.032724384450000005
Africa,,1966,0.03564618859
Africa,,1967,0.03437115677
Africa,,1968,0.034195276739999995
Africa,,1969,0.03969944326
Africa,,1970,0.04785500806
Africa,,1971,0.05323626723
Africa,,1972,0.06895526267
Africa,,1973,0.1072211566
Africa,,1974,0.1168689615
Africa,,1975,0.1378768466
Africa,,1976,0.153105131
Africa,,1977,0.1667098893
Africa,,1978,0.2316900081
Africa,,1979,0.3447262651
Africa,,1980,0.4252996443
Africa,,1981,0.5058873799
Africa,,1982,0.5305406303
Africa,,1983,0.5672388434
Africa,,1984,0.5278697065
Africa,,1985,0.5485789301999999
Africa,,1986,0.6001957425000001
Africa,,1987,0.6014901072000001
Africa,,1988,0.6489857458
Africa,,1989,0.6543051599
Africa,,1990,0.6526284239000001
Africa,,1991,0.6410053284
Africa,,1992,0.6654039421
Africa,,1993,0.647924072
Africa,,1994,0.660791776
Africa,,1995,0.6870737476000001
Africa,,1996,0.7061322374
Africa,,1997,0.6766484081999999
Africa,,1998,0.6972852866
Africa,,1999,0.6837431928
Africa,,2000,0.737307035
Africa,,2001,0.8205190566
Africa,,2002,0.8457595266
Africa,,2003,0.8795172143
Africa,,2004,0.9438145014
Africa,,2005,0.9624483482
Africa,,2006,0.9890420534
Africa,,2007,1.040751401
Africa,,2008,1.0571455699999999
Africa,,2009,1.018447331
Africa,,2010,1.0616370629999998
Africa,,2011,1.1008807059999999
Africa,,2012,1.142514647
Africa,,2013,1.136706334
Africa,,2014,1.142185233
Africa,,2015,1.1902791190000002
Algeria,DZA,1965,0.6401267701000001
Algeria,DZA,1966,0.6468942434
Algeria,DZA,1967,0.6096210802
Algeria,DZA,1968,0.6227764105
Algeria,DZA,1969,0.7959199227
Algeria,DZA,1970,0.7273728707
Algeria,DZA,1971,0.8030549777
Algeria,DZA,1972,0.9075837676
Algeria,DZA,1973,1.2289024320000002
Algeria,DZA,1974,1.3836790570000002
Algeria,DZA,1975,1.854218471
Algeria,DZA,1976,2.131122203
Algeria,DZA,1977,2.2069815669999997
Algeria,DZA,1978,3.442576747
Algeria,DZA,1979,4.725580695
Algeria,DZA,1980,6.1542839990000004
Algeria,DZA,1981,7.756962813
Algeria,DZA,1982,8.53101384
Algeria,DZA,1983,9.052737128
Algeria,DZA,1984,7.711420644
Algeria,DZA,1985,7.412184887
Algeria,DZA,1986,7.881345737
Algeria,DZA,1987,7.833435356
Algeria,DZA,1988,8.585058198
Algeria,DZA,1989,7.865477864000001
Algeria,DZA,1990,8.187831316
Algeria,DZA,1991,7.891343818
Algeria,DZA,1992,7.959682933
Algeria,DZA,1993,6.987729079
Algeria,DZA,1994,7.214865829000001
Algeria,DZA,1995,7.6082688460000005
Algeria,DZA,1996,7.6799385540000005
Algeria,DZA,1997,7.060456276
Algeria,DZA,1998,7.194055841000001
Algeria,DZA,1999,7.250034966
Algeria,DZA,2000,6.661290881
Algeria,DZA,2001,6.792355367
Algeria,DZA,2002,6.622493057
Algeria,DZA,2003,6.911203519
Algeria,DZA,2004,7.018858585
Algeria,DZA,2005,7.303347075
Algeria,DZA,2006,7.356480706
Algeria,DZA,2007,7.412821946
Algeria,DZA,2008,7.6128898959999995
Algeria,DZA,2009,8.037267804
Algeria,DZA,2010,7.625876466
Algeria,DZA,2011,7.914591126
Algeria,DZA,2012,8.648141116000001
Algeria,DZA,2013,9.111327415
Algeria,DZA,2014,10.03473078
Algeria,DZA,2015,10.34321534
Argentina,ARG,1965,1.9916215620000002
Argentina,ARG,1966,2.126026174
Argentina,ARG,1967,2.1918897189999997
Argentina,ARG,1968,2.405867812
Argentina,ARG,1969,2.3618677750000003
Argentina,ARG,1970,2.6284231239999998
Argentina,ARG,1971,2.680264441
Argentina,ARG,1972,3.019434854
Argentina,ARG,1973,3.305743758
Argentina,ARG,1974,3.203376193
Argentina,ARG,1975,3.503695768
Argentina,ARG,1976,3.650326515
Argentina,ARG,1977,3.706150235
Argentina,ARG,1978,3.5549131430000003
Argentina,ARG,1979,3.8138532510000003
Argentina,ARG,1980,4.191452695
Argentina,ARG,1981,4.272761963
Argentina,ARG,1982,4.53832893
Argentina,ARG,1983,4.961358000000001
Argentina,ARG,1984,5.223939758
Argentina,ARG,1985,5.2857332260000005
Argentina,ARG,1986,5.980427157
Argentina,ARG,1987,5.961403635
Argentina,ARG,1988,6.846326795
Argentina,ARG,1989,7.195919880000001
Argentina,ARG,1990,6.692858137
Argentina,ARG,1991,7.024027715
Argentina,ARG,1992,7.138275802
Argentina,ARG,1993,6.909254301
Argentina,ARG,1994,7.10883681
Argentina,ARG,1995,7.769015432000001
Argentina,ARG,1996,8.471088193
Argentina,ARG,1997,8.531297495999999
Argentina,ARG,1998,8.758142234000001
Argentina,ARG,1999,9.441445863
Argentina,ARG,2000,9.801227024
Argentina,ARG,2001,9.069984345000002
Argentina,ARG,2002,8.824922399
Argentina,ARG,2003,9.623916117
Argentina,ARG,2004,10.245735360000001
Argentina,ARG,2005,10.802440370000001
Argentina,ARG,2006,11.05998171
Argentina,ARG,2007,11.50132759
Argentina,ARG,2008,11.51094528
Argentina,ARG,2009,10.8121866
Argentina,ARG,2010,10.99972796
Argentina,ARG,2011,11.32102754
Argentina,ARG,2012,11.619537860000001
Argentina,ARG,2013,11.497156740000001
Argentina,ARG,2014,11.486846830000001
Argentina,ARG,2015,11.61657602
Australia,AUS,1965,0.003070407372
Australia,AUS,1966,0.003995379033
Australia,AUS,1967,0.003893096507
Australia,AUS,1968,0.026550158180000002
Australia,AUS,1969,0.3497800021
Australia,AUS,1970,1.331123965
Australia,AUS,1971,1.950108587
Australia,AUS,1972,2.754602944
Australia,AUS,1973,3.448036353
Australia,AUS,1974,3.883385858
Australia,AUS,1975,4.1193211419999995
Australia,AUS,1976,4.806271313
Australia,AUS,1977,5.428996107
Australia,AUS,1978,5.780624684
Australia,AUS,1979,6.578628491000001
Australia,AUS,1980,7.463428043
Australia,AUS,1981,7.985940751
Australia,AUS,1982,7.683730089
Australia,AUS,1983,8.228414084
Australia,AUS,1984,8.226235386
Australia,AUS,1985,8.649079090999999
Australia,AUS,1986,9.286782125
Australia,AUS,1987,9.326842725
Australia,AUS,1988,9.385033371
Australia,AUS,1989,9.990611739
Australia,AUS,1990,9.822168216
Australia,AUS,1991,9.504193177
Australia,AUS,1992,9.853036992
Australia,AUS,1993,10.00836009
Australia,AUS,1994,10.885212670000001
Australia,AUS,1995,10.719987380000001
Australia,AUS,1996,10.784934170000001
Australia,AUS,1997,10.479854520000002
Australia,AUS,1998,10.67548962
Australia,AUS,1999,10.819162050000001
Australia,AUS,2000,10.90759196
Australia,AUS,2001,11.63853399
Australia,AUS,2002,11.851631020000001
Australia,AUS,2003,11.814901840000001
Australia,AUS,2004,11.90632799
Australia,AUS,2005,11.65468545
Australia,AUS,2006,12.78923774
Australia,AUS,2007,14.05268653
Australia,AUS,2008,13.660627060000001
Australia,AUS,2009,14.03394464
Australia,AUS,2010,14.703764880000001
Australia,AUS,2011,15.69882739
