Price of U.S. Natural Gas Exports
https://www.eia.gov/dnav/ng/hist/n9130us3m.htm
21:00:36 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Month,Price of U.S. Natural Gas Exports  Dollars per Thousand Cubic Feet
Feb 2022,8.22
Jan 2022,7.04
Dec 2021,7.4
Nov 2021,8.1
Oct 2021,7.97
Sep 2021,6.7
Aug 2021,6.06
Jul 2021,5.64
Jun 2021,4.92
May 2021,4.89
Apr 2021,4.46
Mar 2021,4.71
Feb 2021,12.68
Jan 2021,4.62
Dec 2020,4.84
Nov 2020,4.77
Oct 2020,3.85
Sep 2020,3.49
Aug 2020,3.28
Jul 2020,2.9
Jun 2020,2.99
May 2020,3.61
Apr 2020,3.21
Mar 2020,3.3
Feb 2020,3.51
Jan 2020,3.74
Dec 2019,3.89
Nov 2019,4.03
Oct 2019,3.55
Sep 2019,3.56
Aug 2019,3.23
Jul 2019,3.47
Jun 2019,3.18
May 2019,3.51
Apr 2019,3.32
Mar 2019,3.68
Feb 2019,3.76
Jan 2019,4.39
Dec 2018,5.22
Nov 2018,4.46
Oct 2018,3.76
Sep 2018,3.47
Aug 2018,3.78
Jul 2018,3.72
Jun 2018,3.43
May 2018,3.7
Apr 2018,3.46
Mar 2018,3.37
Feb 2018,3.93
Jan 2018,3.97
Dec 2017,3.68
Nov 2017,3.54
Oct 2017,3.37
Sep 2017,3.3
Aug 2017,3.27
Jul 2017,3.37
Jun 2017,3.41
May 2017,3.57
Apr 2017,3.65
Mar 2017,3.21
Feb 2017,3.8
Jan 2017,4.26
Dec 2016,3.82
Nov 2016,3
Oct 2016,3.06
Sep 2016,3.16
Aug 2016,3.13
Jul 2016,3.02
Jun 2016,2.6
May 2016,2.15
Apr 2016,2.15
Mar 2016,2.04
Feb 2016,2.28
Jan 2016,2.54
Dec 2015,2.57
Nov 2015,2.63
Oct 2015,2.73
Sep 2015,2.92
Aug 2015,3.09
Jul 2015,3.06
Jun 2015,3.01
May 2015,2.95
Apr 2015,2.83
Mar 2015,3.41
Feb 2015,3.98
Jan 2015,3.78
Dec 2014,4.25
Nov 2014,4.44
Oct 2014,4.37
Sep 2014,4.41
Aug 2014,4.38
Jul 2014,4.74
Jun 2014,4.81
May 2014,5.01
Apr 2014,4.93
Mar 2014,8.2
Feb 2014,9.56
Jan 2014,5.82
Dec 2013,4.56
Nov 2013,4.15
Oct 2013,3.88
Sep 2013,3.88
Aug 2013,3.75
Jul 2013,3.94
Jun 2013,4.22
May 2013,4.38
Apr 2013,4.43
Mar 2013,4.05
Feb 2013,3.84
Jan 2013,3.9
Dec 2012,4.15
Nov 2012,3.96
Oct 2012,3.71
Sep 2012,3
Aug 2012,3.35
Jul 2012,3.05
Jun 2012,2.93
May 2012,2.79
Apr 2012,2.28
Mar 2012,2.74
Feb 2012,3.06
Jan 2012,3.66
Dec 2011,4.08
Nov 2011,4.24
Oct 2011,4.14
Sep 2011,4.87
Aug 2011,4.63
Jul 2011,4.82
Jun 2011,4.83
May 2011,4.88
Apr 2011,4.78
Mar 2011,4.52
Feb 2011,4.79
Jan 2011,5.11
Dec 2010,5.01
Nov 2010,4.42
Oct 2010,4.41
Sep 2010,4.64
Aug 2010,4.89
Jul 2010,5.25
Jun 2010,4.98
May 2010,4.68
Apr 2010,4.76
Mar 2010,5.1
Feb 2010,5.87
Jan 2010,6.35
