Price of U.S. Natural Gas Imports
https://www.eia.gov/dnav/ng/hist/n9100us3m.htm
20:59:39 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Month,Price of U.S. Natural Gas Imports  Dollars per Thousand Cubic Feet
Feb 2022,5.62
Jan 2022,6.87
Dec 2021,4.74
Nov 2021,5.18
Oct 2021,4.79
Sep 2021,4.07
Aug 2021,3.52
Jul 2021,3.41
Jun 2021,2.83
May 2021,2.7
Apr 2021,2.44
Mar 2021,2.66
Feb 2021,5.63
Jan 2021,2.86
Dec 2020,2.89
Nov 2020,2.79
Oct 2020,2.17
Sep 2020,2.02
Aug 2020,1.9
Jul 2020,1.73
Jun 2020,1.57
May 2020,1.68
Apr 2020,1.51
Mar 2020,1.71
Feb 2020,2.16
Jan 2020,2.91
Dec 2019,3.23
Nov 2019,2.8
Oct 2019,2.15
Sep 2019,1.65
Aug 2019,1.73
Jul 2019,1.86
Jun 2019,1.54
May 2019,1.81
Apr 2019,2.14
Mar 2019,3.79
Feb 2019,4.06
Jan 2019,4.3
Dec 2018,4.89
Nov 2018,4.1
Oct 2018,2.61
Sep 2018,2.09
Aug 2018,2.22
Jul 2018,2.16
Jun 2018,1.87
May 2018,1.73
Apr 2018,2.2
Mar 2018,2.45
Feb 2018,3.02
Jan 2018,4.41
Dec 2017,3.27
Nov 2017,2.53
Oct 2017,2.06
Sep 2017,2.12
Aug 2017,2.38
Jul 2017,2.4
Jun 2017,2.62
May 2017,2.7
Apr 2017,2.64
Mar 2017,2.68
Feb 2017,3.14
Jan 2017,3.74
Dec 2016,3.5
Nov 2016,2.7
Oct 2016,2.59
Sep 2016,2.47
Aug 2016,2.42
Jul 2016,2.35
Jun 2016,1.9
May 2016,1.55
Apr 2016,1.61
Mar 2016,1.73
Feb 2016,2.43
Jan 2016,2.8
Dec 2015,2.28
Nov 2015,2.4
Oct 2015,3.23
Sep 2015,2.75
Aug 2015,2.74
Jul 2015,2.66
Jun 2015,2.56
May 2015,2.52
Apr 2015,2.59
Mar 2015,3.9
Feb 2015,5.46
Jan 2015,4.75
Dec 2014,4.44
Nov 2014,3.97
Oct 2014,3.87
Sep 2014,4.24
Aug 2014,3.87
Jul 2014,4.77
Jun 2014,5.32
May 2014,4.6
Apr 2014,5.11
Mar 2014,8.12
Feb 2014,9.11
Jan 2014,7.15
Dec 2013,4.75
Nov 2013,3.77
Oct 2013,3.4
Sep 2013,3.49
Aug 2013,3.17
Jul 2013,3.41
Jun 2013,3.9
May 2013,3.94
Apr 2013,3.98
Mar 2013,3.84
Feb 2013,3.99
Jan 2013,4.14
Dec 2012,3.93
Nov 2012,4.03
Oct 2012,3.16
Sep 2012,2.67
Aug 2012,2.83
Jul 2012,2.78
Jun 2012,2.35
May 2012,2.29
Apr 2012,2.04
Mar 2012,2.36
Feb 2012,2.86
Jan 2012,3.27
Dec 2011,3.66
Nov 2011,3.58
Oct 2011,4.06
Sep 2011,3.92
Aug 2011,4.4
Jul 2011,4.39
Jun 2011,4.6
May 2011,4.31
Apr 2011,4.35
Mar 2011,4.24
Feb 2011,4.49
Jan 2011,4.66
Dec 2010,4.56
Nov 2010,3.96
Oct 2010,3.83
Sep 2010,3.76
Aug 2010,4.13
Jul 2010,4.4
Jun 2010,4.23
May 2010,4.13
Apr 2010,4.13
Mar 2010,4.87
Feb 2010,5.62
Jan 2010,5.95
Dec 2009,5.23
Nov 2009,4.4
Oct 2009,3.92
Sep 2009,2.91
Aug 2009,3.29
Jul 2009,3.5
Jun 2009,3.51
May 2009,3.48
Apr 2009,3.67
Mar 2009,4.34
Feb 2009,5.21
Jan 2009,6.18
Dec 2008,6.74
Nov 2008,6.54
Oct 2008,6.87
Sep 2008,7.54
Aug 2008,8.67
Jul 2008,11.78
Jun 2008,11.71
May 2008,10.8
Apr 2008,9.61
Mar 2008,9.03
Feb 2008,8.34
Jan 2008,7.66
Dec 2007,7.51
Nov 2007,7.21
Oct 2007,6.35
Sep 2007,5.49
Aug 2007,6
Jul 2007,6.56
Jun 2007,7.32
May 2007,7.45
Apr 2007,7.24
Mar 2007,7.45
Feb 2007,7.39
Jan 2007,6.5
Dec 2006,7.6
Nov 2006,7.24
Oct 2006,4.88
Sep 2006,5.83
Aug 2006,6.74
Jul 2006,5.95
Jun 2006,5.83
May 2006,6.53
Apr 2006,6.73
Mar 2006,7
Feb 2006,7.96
Jan 2006,10.11
Dec 2005,10.91
Nov 2005,11.31
Oct 2005,11.99
Sep 2005,9.96
Aug 2005,7.5
Jul 2005,6.82
Jun 2005,6.35
May 2005,6.58
Apr 2005,6.92
Mar 2005,6.24
Feb 2005,6.14
