U.S. Imports of Total Gasoline Weekly,
https://www.eia.gov/opendata/qb.php?sdid=PET.WGTIMUS2.W,
20:28:36 GMT-0700 (Pacific Daylight Time),
Source: U.S. Energy Information Administration,
Week of,Series ID: PET.WGTIMUS2.W Thousand Barrels per Day
4/29/2022,1127
4/22/2022,845
4/15/2022,597
4/8/2022,439
4/1/2022,484
3/25/2022,656
3/18/2022,721
3/11/2022,531
3/4/2022,760
2/25/2022,603
2/18/2022,416
2/11/2022,555
2/4/2022,514
1/28/2022,433
1/21/2022,314
1/14/2022,391
1/7/2022,589
12/31/2021,596
12/24/2021,432
12/17/2021,688
12/10/2021,499
12/3/2021,558
11/26/2021,643
11/19/2021,483
11/12/2021,823
11/5/2021,587
10/29/2021,667
10/22/2021,493
10/15/2021,606
10/8/2021,543
10/1/2021,1088
9/24/2021,989
9/17/2021,1082
9/10/2021,638
9/3/2021,899
8/27/2021,1138
8/20/2021,1076
8/13/2021,743
8/6/2021,925
7/30/2021,845
7/23/2021,909
7/16/2021,1374
7/9/2021,1044
7/2/2021,1016
6/25/2021,790
6/18/2021,840
6/11/2021,1050
6/4/2021,1050
5/28/2021,933
5/21/2021,1034
5/14/2021,1081
5/7/2021,936
4/30/2021,1020
4/23/2021,1021
4/16/2021,1119
4/9/2021,839
4/2/2021,1297
3/26/2021,619
3/19/2021,939
3/12/2021,910
3/5/2021,577
2/26/2021,605
2/19/2021,531
2/12/2021,670
2/5/2021,657
1/29/2021,568
1/22/2021,465
1/15/2021,504
1/8/2021,383
1/1/2021,445
12/25/2020,601
12/18/2020,571
12/11/2020,611
12/4/2020,789
11/27/2020,522
11/20/2020,441
11/13/2020,530
11/6/2020,450
10/30/2020,630
10/23/2020,460
10/16/2020,509
10/9/2020,398
10/2/2020,849
9/25/2020,732
9/18/2020,474
9/11/2020,600
9/4/2020,574
8/28/2020,577
8/21/2020,539
8/14/2020,557
8/7/2020,1023
7/31/2020,657
7/24/2020,924
7/17/2020,542
7/10/2020,493
7/3/2020,729
6/26/2020,1011
6/19/2020,704
6/12/2020,530
6/5/2020,629
5/29/2020,782
5/22/2020,292
5/15/2020,526
5/8/2020,486
5/1/2020,368
4/24/2020,228
4/17/2020,368
4/10/2020,402
4/3/2020,493
3/27/2020,736
3/20/2020,834
3/13/2020,688
3/6/2020,710
2/28/2020,511
2/21/2020,405
2/14/2020,421
2/7/2020,406
1/31/2020,676
1/24/2020,543
1/17/2020,563
1/10/2020,443
1/3/2020,401
12/27/2019,473
12/20/2019,594
12/13/2019,519
12/6/2019,579
11/29/2019,399
11/22/2019,773
11/15/2019,515
11/8/2019,679
11/1/2019,493
10/25/2019,673
10/18/2019,697
10/11/2019,651
10/4/2019,642
9/27/2019,843
9/20/2019,800
9/13/2019,501
9/6/2019,797
8/30/2019,717
8/23/2019,965
8/16/2019,892
8/9/2019,805
8/2/2019,1217
7/26/2019,1117
7/19/2019,985
7/12/2019,852
7/5/2019,871
6/28/2019,536
6/21/2019,816
6/14/2019,837
6/7/2019,700
5/31/2019,1095
5/24/2019,1087
5/17/2019,1350
5/10/2019,752
5/3/2019,1114
4/26/2019,770
4/19/2019,905
4/12/2019,990
4/5/2019,714
3/29/2019,746
3/22/2019,688
3/15/2019,793
3/8/2019,573
3/1/2019,555
2/22/2019,473
2/15/2019,420
2/8/2019,457
2/1/2019,625
1/25/2019,523
1/18/2019,561
1/11/2019,377
1/4/2019,550
12/28/2018,314
12/21/2018,509
12/14/2018,595
12/7/2018,525
11/30/2018,189
11/23/2018,384
11/16/2018,247
11/9/2018,253
11/2/2018,591
10/26/2018,363
10/19/2018,331
10/12/2018,394
10/5/2018,693
9/28/2018,713
9/21/2018,863
9/14/2018,561
9/7/2018,1053
8/31/2018,988
8/24/2018,868
8/17/2018,817
8/10/2018,663
8/3/2018,935
7/27/2018,752
7/20/2018,844
7/13/2018,657
7/6/2018,853
6/29/2018,648
6/22/2018,988
6/15/2018,850
6/8/2018,824
6/1/2018,777
5/25/2018,959
5/18/2018,1063
5/11/2018,721
5/4/2018,803
4/27/2018,923
4/20/2018,896
4/13/2018,705
4/6/2018,655
3/30/2018,761
3/23/2018,685
3/16/2018,564
3/9/2018,604
3/2/2018,608
2/23/2018,446
2/16/2018,350
2/9/2018,638
2/2/2018,746
1/26/2018,509
1/19/2018,575
1/12/2018,396
1/5/2018,264
12/29/2017,349
12/22/2017,388
12/15/2017,487
12/8/2017,483
