U.S. Midgrade All Formulations Retail Gasoline Prices,
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMM_EPMM_PTE_NUS_DPG&f=M,
14:39:39 GMT-0700 (Pacific Daylight Time),
Source: U.S. Energy Information Administration,
Month,U.S. Midgrade All Formulations Retail Gasoline Prices Dollars per Gallon
Apr-22,4.598
Mar-22,4.681
Feb-22,3.939
Jan-22,3.766
Dec-21,3.771
Nov-21,3.836
Oct-21,3.723
Sep-21,3.626
Aug-21,3.613
Jul-21,3.577
Jun-21,3.491
May-21,3.402
Apr-21,3.267
Mar-21,3.198
Feb-21,2.884
Jan-21,2.719
Dec-20,2.596
Nov-20,2.529
Oct-20,2.572
Sep-20,2.597
Aug-20,2.593
Jul-20,2.582
Jun-20,2.479
May-20,2.282
Apr-20,2.302
Mar-20,2.676
Feb-20,2.856
Jan-20,2.947
Dec-19,2.969
Nov-19,3.046
Oct-19,3.079
Sep-19,2.998
Aug-19,3.005
Jul-19,3.11
Jun-19,3.115
May-19,3.25
Apr-19,3.165
Mar-19,2.854
Feb-19,2.682
Jan-19,2.658
Dec-18,2.793
Nov-18,3.055
Oct-18,3.23
Sep-18,3.187
Aug-18,3.181
Jul-18,3.196
Jun-18,3.241
May-18,3.221
Apr-18,3.035
Mar-18,2.874
Feb-18,2.869
Jan-18,2.832
Dec-17,2.755
Nov-17,2.837
Oct-17,2.779
Sep-17,2.916
Aug-17,2.649
Jul-17,2.572
Jun-17,2.617
May-17,2.654
Apr-17,2.676
Mar-17,2.59
Feb-17,2.565
Jan-17,2.599
Dec-16,2.512
Nov-16,2.45
Oct-16,2.509
Sep-16,2.472
Aug-16,2.427
Jul-16,2.488
Jun-16,2.603
May-16,2.51
Apr-16,2.355
Mar-16,2.21
Feb-16,2.021
Jan-16,2.207
Dec-15,2.29
Nov-15,2.398
Oct-15,2.518
Sep-15,2.595
Aug-15,2.855
Jul-15,3.002
Jun-15,2.997
May-15,2.924
Apr-15,2.674
Mar-15,2.662
Feb-15,2.412
Jan-15,2.331
Dec-14,2.752
Nov-14,3.107
Oct-14,3.366
Sep-14,3.586
Aug-14,3.668
Jul-14,3.789
Jun-14,3.861
May-14,3.852
Apr-14,3.834
Mar-14,3.698
Feb-14,3.533
Jan-14,3.492
Dec-13,3.457
Nov-13,3.423
Oct-13,3.517
Sep-13,3.692
Aug-13,3.729
Jul-13,3.746
Jun-13,3.763
May-13,3.75
Apr-13,3.723
Mar-13,3.863
Feb-13,3.816
Jan-13,3.479
Dec-12,3.466
Nov-12,3.605
Oct-12,3.901
Sep-12,3.984
Aug-12,3.849
Jul-12,3.569
Jun-12,3.671
May-12,3.868
Apr-12,4.028
Mar-12,3.977
Feb-12,3.714
Jan-12,3.512
Dec-11,3.401
Nov-11,3.52
Oct-11,3.581
Sep-11,3.735
Aug-11,3.76
Jul-11,3.768
Jun-11,3.799
May-11,4.025
Apr-11,3.916
Mar-11,3.683
Feb-11,3.33
Jan-11,3.212
Dec-10,3.114
Nov-10,2.979
Oct-10,2.919
Sep-10,2.825
Aug-10,2.853
Jul-10,2.849
Jun-10,2.852
May-10,2.958
Apr-10,2.963
Mar-10,2.892
Feb-10,2.77
Jan-10,2.837
Dec-09,2.734
Nov-09,2.774
