U.S. Natural Gas Exports
https://www.eia.gov/dnav/ng/hist/n9130us2A.htm
20:04:34 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Year,U.S. Natural Gas Exports  Million Cubic Feet
2021,6652609
2020,5283607
2019,4657657
2018,3607841
2017,3153804
2016,2335448
2015,1783512
2014,1514242
2013,1572413
2012,1618828
2011,1505650
2010,1136789
2009,1072357
2008,963263
2007,822454
2006,723958
2005,728601
2004,854138
2003,679922
2002,516233
2001,373278
2000,243716
1999,163415
1998,159007
1997,157006
1996,153393
1995,154119
1994,161738
1993,140183
1992,216282
1991,129244
1990,85565
1989,106871
1988,73638
1987,54020
1986,61271
1985,55268
1984,54753
1983,54639
1982,51728
1981,59372
1980,48731
1979,55673
1978,52532
1977,55625
1976,64710
1975,72675
1974,76789
1973,77169
