U.S. Natural Gas Marketed Production (Wet)
https://www.eia.gov/dnav/ng/hist/n9050us1A.htm
19:55:06 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Year,U.S. Natural Gas Marketed Production (Wet)  Billion Cubic Feet
2021,37011
2020,36202
2019,36447
2018,33009
2017,29238
2016,28400
2015,28772
2014,27498
2013,25562
2012,25283
2011,24036
2010,22382
2009,21648
2008,21112
2007,20196
2006,19410
2005,18927
2004,19517
2003,19974
2002,19885
2001,20570
2000,20198
1999,19805
1998,19961
1997,19866
1996,19812
1995,19506
1994,19710
1993,18982
1992,18712
1991,18532
1990,18594
1989,18095
1988,17918
1987,17433
1986,16859
1985,17270
1984,18304
1983,16884
1982,18582
1981,19956
1980,20180
1979,20471
1978,19974
1977,20025
1976,19952
1975,20109
1974,21601
1973,22648
1972,22532
1971,22493
1970,21921
1969,20698
1968,19322
1967,18171
1966,17207
1965,16040
1964,15547
1963,14747
1962,13877
1961,13254
1960,12771
1959,12046
1958,11030
1957,10680
1956,10082
1955,9405
1954,8743
1953,8397
1952,8013
1951,7457
1950,6282
1949,5420
1948,5148
1947,4582
1946,4153
1945,4042
1944,3815
1943,3516
1942,3146
1941,2894
1940,2734
1939,2538
1938,2358
1937,2473
1936,2225
1935,1969
1934,1816
1933,1597
1932,1594
1931,1722
1930,1979
1929,1952
1928,1596
1927,1471
1926,1336
1925,1210
1924,1162
1923,1025
1922,776
1921,674
1920,812
1919,746
1918,721
1917,795
1916,753
1915,629
1914,592
1913,582
1912,562
1911,513
1910,509
1909,481
1908,402
1907,407
1906,389
1905,320
1904,257
1903,239
1902,206
1901,180
1900,128
