U.S. Natural Gas Net Imports
https://www.eia.gov/dnav/ng/hist/n9180us1A.htm
19:56:02 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Year,U.S. Natural Gas Net Imports  Billion Cubic Feet
2021,-3845
2020,-2732
2019,-1916
2018,-719
2017,-121
2016,671
2015,935
2014,1181
2013,1311
2012,1519
2011,1963
2010,2604
2009,2679
2008,3021
2007,3785
2006,3462
2005,3612
2004,3404
2003,3264
2002,3499
2001,3604
2000,3538
1999,3422
1998,2993
1997,2837
1996,2784
1995,2687
1994,2462
1993,2210
1992,1921
1991,1644
1990,1447
1989,1275
1988,1220
1987,939
1986,689
1985,894
1984,788
1983,864
1982,882
1981,845
1980,936
1979,1198
1978,913
1977,955
1976,899
1975,880
1974,882
1973,956
