U.S. Natural Gas Total Consumption
https://www.eia.gov/dnav/ng/hist/n9140us1m.htm
19:56:30 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Month,U.S. Natural Gas Total Consumption  Billion Cubic Feet
Feb 2022,3040
Jan 2022,3592
Dec 2021,2980
Nov 2021,2660
Oct 2021,2238
Sep 2021,2110
Aug 2021,2411
Jul 2021,2388
Jun 2021,2215
May 2021,2094
Apr 2021,2238
Mar 2021,2616
Feb 2021,3042
Jan 2021,3292
Dec 2020,3168
Nov 2020,2435
Oct 2020,2320
Sep 2020,2172
Aug 2020,2401
Jul 2020,2489
Jun 2020,2131
May 2020,2067
Apr 2020,2241
Mar 2020,2707
Feb 2020,3041
Jan 2020,3300
Dec 2019,3171
Nov 2019,2784
Oct 2019,2307
Sep 2019,2206
Aug 2019,2434
Jul 2019,2394
Jun 2019,2119
May 2019,2134
Apr 2019,2212
Mar 2019,2928
Feb 2019,3019
Jan 2019,3424
Dec 2018,3000
Nov 2018,2716
Oct 2018,2286
Sep 2018,2156
Aug 2018,2314
Jul 2018,2351
Jun 2018,2063
May 2018,2055
Apr 2018,2350
Mar 2018,2797
Feb 2018,2711
Jan 2018,3341
Dec 2017,3086
Nov 2017,2357
Oct 2017,2032
Sep 2017,1920
Aug 2017,2094
Jul 2017,2142
Jun 2017,1910
May 2017,1892
Apr 2017,1932
Mar 2017,2523
Feb 2017,2340
Jan 2017,2914
Dec 2016,2866
Nov 2016,2159
Oct 2016,1925
Sep 2016,1948
Aug 2016,2208
Jul 2016,2187
Jun 2016,2001
May 2016,1966
Apr 2016,2084
Mar 2016,2356
Feb 2016,2652
Jan 2016,3092
Dec 2015,2588
Nov 2015,2249
Oct 2015,1987
Sep 2015,1901
Aug 2015,2053
Jul 2015,2068
Jun 2015,1900
May 2015,1858
Apr 2015,2008
Mar 2015,2591
Feb 2015,2925
Jan 2015,3115
Dec 2014,2679
Nov 2014,2358
Oct 2014,1913
Sep 2014,1809
Aug 2014,1933
Jul 2014,1881
Jun 2014,1745
May 2014,1810
Apr 2014,1962
Mar 2014,2558
Feb 2014,2741
Jan 2014,3204
Dec 2013,2921
Nov 2013,2317
Oct 2013,1867
Sep 2013,1767
Aug 2013,1927
Jul 2013,1926
Jun 2013,1743
May 2013,1752
Apr 2013,1967
Mar 2013,2521
Feb 2013,2567
Jan 2013,2879
Dec 2012,2504
Nov 2012,2168
Oct 2012,1901
Sep 2012,1807
Aug 2012,2009
Jul 2012,2070
Jun 2012,1868
May 2012,1874
Apr 2012,1953
Mar 2012,2128
Feb 2012,2501
Jan 2012,2756
Dec 2011,2542
Nov 2011,2032
Oct 2011,1744
Sep 2011,1656
Aug 2011,1892
Jul 2011,1891
Jun 2011,1657
May 2011,1667
Apr 2011,1825
Mar 2011,2230
Feb 2011,2452
Jan 2011,2889
Dec 2010,2714
Nov 2010,1973
Oct 2010,1665
Sep 2010,1637
Aug 2010,1879
Jul 2010,1826
Jun 2010,1650
May 2010,1617
Apr 2010,1692
Mar 2010,2143
Feb 2010,2481
Jan 2010,2810
Dec 2009,2492
Nov 2009,1776
Oct 2009,1667
Sep 2009,1575
Aug 2009,1736
Jul 2009,1658
Jun 2009,1528
May 2009,1504
Apr 2009,1741
Mar 2009,2171
Feb 2009,2333
Jan 2009,2730
Dec 2008,2400
Nov 2008,1869
Oct 2008,1636
Sep 2008,1461
Aug 2008,1683
Jul 2008,1709
Jun 2008,1604
May 2008,1576
Apr 2008,1824
Mar 2008,2278
Feb 2008,2503
Jan 2008,2734
Dec 2007,2399
Nov 2007,1835
Oct 2007,1628
Sep 2007,1590
Aug 2007,1896
Jul 2007,1660
Jun 2007,1555
May 2007,1559
Apr 2007,1810
Mar 2007,2129
Feb 2007,2567
Jan 2007,2476
Dec 2006,2123
Nov 2006,1765
Oct 2006,1644
Sep 2006,1462
Aug 2006,1752
Jul 2006,1759
Jun 2006,1551
May 2006,1526
Apr 2006,1681
Mar 2006,2126
Feb 2006,2144
Jan 2006,2165
Dec 2005,2326
Nov 2005,1663
Oct 2005,1428
Sep 2005,1422
Aug 2005,1695
Jul 2005,1687
Jun 2005,1534
May 2005,1523
Apr 2005,1725
Mar 2005,2206
Feb 2005,2243
Jan 2005,2562
Dec 2004,2328
Nov 2004,1783
Oct 2004,1557
Sep 2004,1482
Aug 2004,1578
Jul 2004,1585
Jun 2004,1484
May 2004,1573
Apr 2004,1745
Mar 2004,2101
Feb 2004,2511
Jan 2004,2676
Dec 2003,2264
Nov 2003,1754
Oct 2003,1553
Sep 2003,1429
Aug 2003,1652
Jul 2003,1600
Jun 2003,1368
May 2003,1515
Apr 2003,1744
Mar 2003,2198
Feb 2003,2500
Jan 2003,2701
Dec 2002,2379
Nov 2002,1914
Oct 2002,1646
Sep 2002,1542
Aug 2002,1726
Jul 2002,1748
Jun 2002,1591
May 2002,1611
Apr 2002,1881
Mar 2002,2258
Feb 2002,2242
Jan 2002,2488
Dec 2001,2120
Nov 2001,1701
Oct 2001,1649
Sep 2001,1494
Aug 2001,1669
Jul 2001,1598
Jun 2001,1444
May 2001,1522
Apr 2001,1807
Mar 2001,2247
Feb 2001,2309
Jan 2001,2677
