U.S. Premium All Formulations Retail Gasoline Prices,
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMM_EPMP_PTE_NUS_DPG&f=M,
14:40:13 GMT-0700 (Pacific Daylight Time),
Source: U.S. Energy Information Administration,
Month,U.S. Premium All Formulations Retail Gasoline Prices Dollars per Gallon
Apr-22,4.871
Mar-22,4.953
Feb-22,4.21
Jan-22,4.036
Dec-21,4.034
Nov-21,4.098
Oct-21,3.979
Sep-21,3.877
Aug-21,3.865
Jul-21,3.823
Jun-21,3.744
May-21,3.652
Apr-21,3.519
Mar-21,3.454
Feb-21,3.14
Jan-21,2.975
Dec-20,2.85
Nov-20,2.782
Oct-20,2.822
Sep-20,2.848
Aug-20,2.842
Jul-20,2.834
Jun-20,2.731
May-20,2.542
Apr-20,2.549
Mar-20,2.924
Feb-20,3.108
Jan-20,3.192
Dec-19,3.217
Nov-19,3.297
Oct-19,3.335
Sep-19,3.251
Aug-19,3.261
Jul-19,3.362
Jun-19,3.364
May-19,3.505
Apr-19,3.417
Mar-19,3.107
Feb-19,2.936
Jan-19,2.904
Dec-18,3.03
Nov-18,3.294
Oct-18,3.472
Sep-18,3.428
Aug-18,3.421
Jul-18,3.441
Jun-18,3.48
May-18,3.46
Apr-18,3.268
Mar-18,3.109
Feb-18,3.106
Jan-18,3.07
Dec-17,2.992
Nov-17,3.067
Oct-17,3.019
Sep-17,3.161
Aug-17,2.884
Jul-17,2.805
Jun-17,2.849
May-17,2.885
Apr-17,2.907
Mar-17,2.819
Feb-17,2.8
Jan-17,2.839
Dec-16,2.751
Nov-16,2.685
Oct-16,2.734
Sep-16,2.698
Aug-16,2.649
Jul-16,2.708
Jun-16,2.816
May-16,2.724
Apr-16,2.566
Mar-16,2.421
Feb-16,2.242
Jan-16,2.424
Dec-15,2.509
Nov-15,2.611
Oct-15,2.718
Sep-15,2.79
Aug-15,3.03
Jul-15,3.172
Jun-15,3.17
May-15,3.087
Apr-15,2.845
Mar-15,2.829
Feb-15,2.594
Jan-15,2.525
Dec-14,2.943
Nov-14,3.29
Oct-14,3.543
Sep-14,3.755
Aug-14,3.833
Jul-14,3.955
Jun-14,4.024
May-14,4.017
Apr-14,3.991
Mar-14,3.86
Feb-14,3.707
Jan-14,3.671
Dec-13,3.637
Nov-13,3.597
Oct-13,3.684
Sep-13,3.855
Aug-13,3.896
Jul-13,3.904
Jun-13,3.909
May-13,3.888
Apr-13,3.876
Mar-13,4.016
Feb-13,3.969
Jan-13,3.644
Dec-12,3.627
Nov-12,3.764
Oct-12,4.041
Sep-12,4.124
Aug-12,3.989
