Date,Price_per_Gallon
2000-05,1.63
2000-06,1.62
2000-07,1.71
2000-08,1.68
2000-09,1.83
2000-10,1.81
2000-11,1.77
2000-12,1.68
2001-01,1.6
2001-02,1.64
2001-03,1.69
2001-04,1.79
2001-05,1.95
2001-06,1.93
2001-07,1.77
2001-08,1.56
2001-09,1.66
2001-10,1.55
2001-11,1.36
2001-12,1.16
2002-01,1.19
2002-02,1.27
2002-03,1.46
2002-04,1.61
2002-05,1.57
2002-06,1.59
2002-07,1.6
2002-08,1.59
2002-09,1.58
2002-10,1.53
2002-11,1.58
2002-12,1.54
2003-01,1.61
2003-02,1.8
2003-03,2.1
2003-04,2.04
2003-05,1.84
2003-06,1.76
2003-07,1.74
2003-08,1.87
2003-09,2.02
2003-10,1.79
2003-11,1.69
2003-12,1.63
2004-01,1.68
2004-02,1.87
2004-03,2.1
2004-04,2.14
2004-05,2.25
2004-06,2.28
2004-07,2.19
2004-08,2.09
2004-09,2.07
2004-10,2.33
2004-11,2.3
2004-12,2.1
2005-01,1.97
2005-02,2.12
2005-03,2.3
2005-04,2.55
2005-05,2.47
2005-06,2.36
2005-07,2.52
2005-08,2.68
2005-09,2.99
2005-10,2.88
2005-11,2.53
2005-12,2.27
2006-01,2.38
2006-02,2.49
2006-03,2.58
2006-04,2.88
2006-05,3.29
2006-06,3.21
2006-07,3.21
2006-08,3.17
2006-09,2.89
2006-10,2.55
2006-11,2.46
2006-12,2.54
2007-01,2.57
2007-02,2.67
2007-03,3.06
2007-04,3.29
2007-05,3.44
2007-06,3.28
2007-07,3.13
2007-08,2.9
2007-09,2.87
2007-10,3.06
2007-11,3.35
2007-12,3.31
2008-01,3.25
2008-02,3.18
2008-03,3.56
2008-04,3.8
2008-05,3.97
2008-06,4.48
2008-07,4.46
2008-08,4.08
2008-09,3.79
2008-10,3.39
2008-11,2.46
2008-12,1.82
2009-01,2.01
2009-02,2.22
2009-03,2.19
2009-04,2.33
2009-05,2.48
2009-06,2.92
2009-07,2.87
2009-08,3.01
2009-09,3.12
2009-10,3.01
2009-11,2.96
2009-12,2.92
2010-01,3.02
2010-02,2.94
2010-03,3.06
2010-04,3.09
2010-05,3.09
2010-06,3.09
2010-07,3.12
2010-08,3.14
2010-09,3.02
2010-10,3.1
2010-11,3.16
2010-12,3.25
2011-01,3.34
2011-02,3.53
2011-03,3.96
2011-04,4.16
2011-05,4.18
2011-06,3.92
2011-07,3.8
2011-08,3.78
2011-09,3.92
2011-10,3.84
2011-11,3.8
2011-12,3.6
2012-01,3.7
2012-02,3.98
2012-03,4.37
2012-04,4.25
2012-05,4.31
2012-06,4.08
2012-07,3.77
2012-08,4.06
2012-09,4.16
2012-10,4.41
2012-11,3.85
2012-12,3.58
2013-01,3.63
2013-02,4.08
2013-03,4.14
2013-04,3.98
2013-05,4.01
2013-06,4.0
2013-07,4.01
2013-08,3.87
2013-09,3.94
2013-10,3.78
2013-11,3.59
2013-12,3.59
2014-01,3.62
2014-02,3.68
2014-03,3.94
2014-04,4.16
2014-05,4.17
2014-06,4.11
2014-07,4.06
2014-08,3.91
2014-09,3.77
2014-10,3.54
2014-11,3.18
2014-12,2.87
2015-01,2.55
2015-02,2.71
2015-03,3.34
2015-04,3.21
2015-05,3.75
2015-06,3.55
2015-07,3.76
2015-08,3.54
2015-09,3.12
2015-10,2.89
2015-11,2.77
2015-12,2.72
2016-01,2.77
2016-02,2.42
2016-03,2.62
2016-04,2.77
2016-05,2.8
2016-06,2.87
2016-07,2.86
2016-08,2.69
2016-09,2.75
2016-10,2.81
2016-11,2.73
2016-12,2.68
2017-01,2.79
2017-02,2.89
2017-03,3.0
2017-04,3.01
2017-05,3.04
2017-06,3.02
2017-07,2.95
2017-08,3.02
2017-09,3.16
2017-10,3.08
2017-11,3.24
2017-12,3.13
2018-01,3.21
2018-02,3.36
2018-03,3.42
2018-04,3.56
2018-05,3.62
2018-06,3.6
2018-07,3.53
2018-08,3.48
2018-09,3.51
2018-10,3.69
2018-11,3.56
2018-12,3.29
2019-01,3.16
2019-02,3.16
2019-03,3.27
2019-04,3.82
2019-05,3.95
2019-06,3.72
2019-07,3.59
2019-08,3.48
2019-09,3.61
2019-10,4.04
2019-11,3.87
2019-12,3.53
2020-01,3.41
2020-02,3.36
2020-03,3.18
2020-04,2.74
2020-05,2.68
2020-06,2.89
2020-07,3.02
2020-08,3.07
2020-09,3.09
2020-10,3.05
2020-11,3.03
2020-12,3.06
2021-01,3.18
2021-02,3.35
2021-03,3.69
2021-04,3.82
2021-05,3.98
2021-06,4.09
2021-07,4.16
2021-08,4.23
2021-09,4.22
2021-10,4.31
2021-11,4.51
2021-12,4.51
2022-01,4.5
2022-02,4.57
2022-03,5.56
2022-04,5.6
2022-05,5.53
