Year,inflation(%),stock_to_GDP(%),working_population,Interest_Rate(%)
2001,2.826171119,132.148,181476647,3.41
2002,1.586031627,101.0791,183792729,1.1733333333333333
2003,2.270094973,124.5066,186939817,2.1041666666666665
2004,2.677236693,133.6506,188763071,2.3958333333333335
2005,3.392746845,130.4083,191024953,4.25
2006,3.225944101,141.6542,193219398,6.020833333333333
2007,2.852672482,137.8527,195663562,5.791666666666667
2008,3.839100297,78.7766,196691536,2.1666666666666665
2009,-0.355546266,104.3488,197897475,0.5
2010,1.640043442,115.2841,199183839,0.7291666666666666
2011,3.156841569,100.6313,199962562,0.75
2012,2.069337265,115.2579,201475828,0.75
2013,1.464832656,143.1937,202327635,0.75
2014,1.622222977,150.2273,203020518,0.75
2015,0.118627136,137.4445,204334050,0.7708333333333334
2016,1.261583206,145.9167,205553963,1.0208333333333333
2017,2.130110004,164.3593,205570247,1.625
2018,2.442583297,147.6641,206538862,2.4583333333333335
2019,1.812210075,158.1229,206309620,2.75
2020,1.233584396,194.49,205954426,0.5833333333333334
