avg_production(Mmcf),avg_consumption(Mmcf),avg_vol(Mmcf),avg_total_import(Mmcf),avg_toal_export(Mmcf),avg_import_price($/Mmcf),avg_export_price($/Mmcf),avg_all_grades_p($/Gallon),avg_reg_p($/Gallon),avg_midg_p($/Gallon),avg_pre_p($/Gallon),avg_dis_p($/Gallon)
2176797.5454545454,2900653.5,6573021.681818182,329209.86363636365,191141.22727272726,5.346818181818182,5.325909090909091,2.4340454545454544,2.3653636363636363,2.559727272727273,2.721318181818182,2.693909090909091
1980881.5454545454,2584856.1818181816,6020565.7272727275,290862.45454545453,172537.86363636365,5.126363636363636,5.6463636363636365,2.4925454545454544,2.4247272727272726,2.6161363636363637,2.775181818181818,2.7325
2156906.6666666665,2372026.285714286,5850327.523809524,301041.4761904762,177765.09523809524,4.628571428571429,4.96,2.5746190476190476,2.5092857142857143,2.6883333333333335,2.8369999999999997,2.7562380952380954
2087370.619047619,1924890.3333333333,6059107.666666667,273109.6666666667,152638.66666666666,4.178095238095238,4.7247619047619045,2.671238095238095,2.605,2.7878095238095235,2.937,2.7906190476190478
2147666.3333333335,1747473.0952380951,6468206.095238095,272039.6666666667,157155.33333333334,4.174761904761905,4.86047619047619,2.758190476190476,2.694,2.8766666666666665,3.0268571428571427,2.820333333333333
2082795.5238095238,1745841.8095238095,6819003.333333333,269727.5238095238,150197.0,4.220000000000001,4.810952380952381,2.768,2.703761904761905,2.8879047619047618,3.0392857142857146,2.825904761904762
2166042.4285714286,1934052.3333333333,7073846.904761905,296586.04761904763,156453.0,4.180952380952381,4.798095238095239,2.747809523809524,2.6822857142857144,2.869190476190476,3.023047619047619,2.8234761904761903
2173138.523809524,1949599.8095238095,7317573.333333333,292025.71428571426,157834.7142857143,3.976666666666667,4.635714285714285,2.7364761904761905,2.6703333333333332,2.859047619047619,3.0145714285714282,2.832190476190476
2084449.619047619,1740402.1904761905,7655600.571428572,271802.5714285714,158814.09523809524,3.919047619047619,4.585714285714285,2.738857142857143,2.6717619047619046,2.863809523809524,3.0205714285714285,2.852904761904762
2176681.714285714,1837722.238095238,7915972.761904762,276281.71428571426,165011.57142857142,4.166190476190476,4.7247619047619045,2.649095238095238,2.580047619047619,2.7792857142857144,2.937619047619048,2.8599047619047617
2132955.1904761903,2107964.904761905,7837963.095238095,273494.0,181307.09523809524,4.618571428571429,5.067142857142857,2.5438095238095237,2.473666666666667,2.6762380952380953,2.8375714285714286,2.8295714285714286
2203867.5714285714,2621349.761904762,7344842.285714285,314493.6666666667,195743.7619047619,4.907142857142857,5.276666666666666,2.4605238095238096,2.3896190476190475,2.5928095238095237,2.756809523809524,2.7701904761904763
