,Year-Month,A1,A2,A3,R1,R2,R3,M1,M2,M3,P1,P2,P3,D1
0,1995-01,5.6499999999999995,5.5360000000000005,6.141,5.409,5.331,5.832,5.868,5.806,6.484,6.374,6.266,6.906,5.4910000000000005
1,1995-02,4.481,4.396,4.86,4.29,4.232,4.622,4.659,4.611,5.129,5.058999999999999,4.978,5.46,4.351
2,1995-03,4.474,4.396,4.8100000000000005,4.288,4.237,4.568,4.645,4.609,5.074999999999999,5.032,4.959,5.411,4.35
3,1995-04,4.629,4.572,4.851,4.445,4.414,4.625,4.795,4.7780000000000005,5.108,5.179,5.133,5.445,4.416
4,1995-05,6.1259999999999994,6.064,6.351999999999999,5.892,5.862,6.08,6.342,6.3309999999999995,6.658,6.821,6.784,7.079,5.625
5,1995-06,4.954000000000001,4.905,5.141,4.766,4.744,4.937,5.131,5.121,5.383,5.515,5.486,5.727,4.4750000000000005
6,1995-07,6.004,5.943,6.289,5.769,5.74,6.025,6.223,6.211,6.6129999999999995,6.708,6.6690000000000005,7.032,5.4990000000000006
7,1995-08,4.68,4.643,4.873,4.493,4.48,4.656,4.851,4.851,5.139,5.244,5.223,5.473000000000001,4.42
8,1995-09,4.631,4.592,4.812,4.443,4.43,4.587999999999999,4.801,4.8,5.07,5.191,5.167,5.425000000000001,4.477
9,1995-10,5.668,5.608,5.962,5.436,5.408,5.662,5.8740000000000006,5.8629999999999995,6.2829999999999995,6.364,6.32,6.724,5.575
10,1995-11,4.434,4.390000000000001,4.661,4.249,4.232,4.415,4.602,4.592,4.936,4.987,4.962,5.248,4.479
11,1995-12,4.470000000000001,4.4190000000000005,4.668,4.285,4.2620000000000005,4.44,4.6419999999999995,4.619,4.937,5.021,4.984999999999999,5.25,4.518
12,1996-01,5.684,5.614000000000001,5.922000000000001,5.452,5.418,5.645,5.893,5.859,6.2459999999999996,6.38,6.325,6.658,5.725999999999999
13,1996-02,4.542,4.4830000000000005,4.7459999999999996,4.357,4.3260000000000005,4.5169999999999995,4.715,4.683,5.021,5.096,5.048,5.335,4.579
14,1996-03,4.732,4.6739999999999995,4.908,4.548,4.5169999999999995,4.685,4.898,4.871,5.1690000000000005,5.2780000000000005,5.234,5.475,4.73
15,1996-04,6.377,6.293,6.695,6.153,6.101,6.3870000000000005,6.577999999999999,6.541,7.038,7.053,6.987,7.371,6.365
16,1996-05,5.295,5.2059999999999995,5.688,5.112,5.05,5.411,5.447,5.407,5.961,5.845,5.771,6.213,5.105
